uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
34599,Made in Abyss,"The Abyss—a gaping chasm stretching down into the depths of the earth, filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals, known as Divers, have sought to solve these mysteries of the Abyss, fearlessly descending into its darkest realms. The best and bravest of the Divers, the White Whistles, are hailed as legends by those who remain on the surface. 
 
Riko, daughter of the missing White Whistle Lyza the Annihilator, aspires to become like her mother and explore the furthest reaches of the Abyss. However, just a novice Red Whistle herself, she is only permitted to roam its most upper layer. Even so, Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg, and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss, the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However, they know not of the harsh reality that is the true existence of the Abyss. 
 
[Written by MAL Rewrite]","['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']","Jul 7, 2017 to Sep 29, 2017",13.0,581663,98,23.0,8.83,https://cdn.myanimelist.net/images/anime/6/86733.jpg,https://myanimelist.net/anime/34599/Made_in_Abyss
5114,Fullmetal Alchemist: Brotherhood,"""In order for something to be obtained, something of equal value must be lost."" 
 
Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist. 
 
Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity. 
 
[Written by MAL Rewrite]","['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']","Apr 5, 2009 to Jul 4, 2010",64.0,1615084,4,1.0,9.23,https://cdn.myanimelist.net/images/anime/1223/96541.jpg,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
199,Sen to Chihiro no Kamikakushi,"Stubborn, spoiled, and naïve, 10-year-old Chihiro Ogino is less than pleased when she and her parents discover an abandoned amusement park on the way to their new house. Cautiously venturing inside, she realizes that there is more to this place than meets the eye, as strange things begin to happen once dusk falls. Ghostly apparitions and food that turns her parents into pigs are just the start—Chihiro has unwittingly crossed over into the spirit world. Now trapped, she must summon the courage to live and work amongst spirits, with the help of the enigmatic Haku and the cast of unique characters she meets along the way. 
 
Vivid and intriguing,  Sen to Chihiro no Kamikakushi  tells the story of Chihiro's journey through an unfamiliar world as she strives to save her parents and return home. 
 
[Written by MAL Rewrite]","['Adventure', 'Supernatural', 'Drama']","Jul 20, 2001",1.0,913212,40,20.0,8.9,https://cdn.myanimelist.net/images/anime/6/79597.jpg,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
1253,Saint Seiya: Meiou Hades Meikai-hen,"Seiya and the rest of the Bronze and Gold Saints who have survived the Sanctuary battle have entered the world of the Dead. They are fighting to get to Hades and defeat him.  
 
(Source: ANN)","['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']","Dec 17, 2005 to Feb 6, 2007",12.0,33453,2409,799.0,7.86,https://cdn.myanimelist.net/images/anime/12/75732.jpg,https://myanimelist.net/anime/1253/Saint_Seiya__Meiou_Hades_Meikai-hen
20767,Noragami OVA,"Bundled with the limited editions of the 10th and 11th volumes of the manga. 
 
10th volume DVD adapts the 25th chapter of the manga. 
 
11th volume DVD adapts the popular cherry blossom-viewing arc. 
 
(Source: MAL News)","['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']","Feb 17, 2014 to Jul 17, 2014",2.0,200244,539,798.0,7.86,https://cdn.myanimelist.net/images/anime/7/77177.jpg,https://myanimelist.net/anime/20767/Noragami_OVA
1425,Lupin III: Part II,"Lupin III chronicles the adventures of Arsene Lupin III, the world's greatest thief, and his partners in crime: master marksman Daisuke Jigen, beautiful and scheming Fujiko Mine and stoic samurai Goemon Ishikawa XIII. Lupin and his gang travel around the globe in search of the world's greatest treasures and riches and always keeping one step ahead of the tireless Inspector Zenigata, who has vowed to bring Lupin to justice.  
 
(Source: ANN)","['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']","Oct 3, 1977 to Oct 6, 1980",155.0,19405,3237,796.0,7.86,https://cdn.myanimelist.net/images/anime/7/34035.jpg,https://myanimelist.net/anime/1425/Lupin_III__Part_II
451,InuYasha Movie 3: Tenka Hadou no Ken,"Izayoi and Inu no Taishou, Inuyasha's parents, are having problems with a human named Setsuna no Takemaru. Sou'unga a magical sword that has been sealed away for 700 years is found. Now everyone is after the sword and its powers but it seems the sword has something else in mind. 
 
(Source: ANN) 
","['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']","Dec 20, 2003",1.0,68407,1527,791.0,7.86,https://cdn.myanimelist.net/images/anime/1658/95332.jpg,https://myanimelist.net/anime/451/InuYasha_Movie_3__Tenka_Hadou_no_Ken
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","Several months have passed since the infamous Ginza Incident, with tensions between the Empire and JSDF escalating in the vast and mysterious ""Special Region"" over peace negotiations. The greed and curiosity of the global powers have also begun to grow, as reports about the technological limitations of the magical realm's archaic civilizations come to light.  
 
Meanwhile, Lieutenant Youji Itami and his merry band of female admirers struggle to navigate the complex political intrigue that plagues the Empire's court. Despite her best efforts, Princess Piña Co Lada faces difficulties attempting to convince her father that the JSDF has no intention of conquering their kingdom. Pressured from both sides of the Gate, Itami must consider even more drastic measures to fulfill his mission. 
 
[Written by MAL Rewrite] ","['Action', 'Military', 'Adventure', 'Fantasy']","Jan 9, 2016 to Mar 26, 2016",12.0,328860,297,785.0,7.86,https://cdn.myanimelist.net/images/anime/8/77382.jpg,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_2nd_Season
552,Digimon Adventure,"When a group of kids head out for summer camp, they don't expect it to snow in the middle of July. Out of nowhere, the kids receive strange devices which transport them to a very different world to begin their  Digimon Adventure ! Led by the plucky Taichi Yagami, the seven children must now survive in a realm far from home, filled with monsters and devoid of other humans. 
 
Luckily, they're not alone: each child is paired off with a companion digital monster called a Digimon. Together, the children and their new friends must overcome their insecurities, discover their inner strengths, and evolve into stronger fighters - literally. 
 
A force of evil is spreading through the Digital World, corrupting all the Digimon. The DigiDestined have arrived and it’s up to them to save the Digital World, if they ever want to see their home world again.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Mar 7, 1999 to Mar 26, 2000",54.0,274830,356,783.0,7.86,https://cdn.myanimelist.net/images/anime/10/11070.jpg,https://myanimelist.net/anime/552/Digimon_Adventure
8609,Detective Conan OVA 10: Kid in Trap Island,"In this entirely new story produced specifically for the DVD, Conan leads a group of young detectives against the phantom thief Kaitou Kid, who has his eyes set on a jewel at a hotel on an isolated island. 
 
(Source: ANN)","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']","Apr 14, 2010",1.0,12337,3969,782.0,7.86,https://cdn.myanimelist.net/images/anime/7/23698.jpg,https://myanimelist.net/anime/8609/Detective_Conan_OVA_10__Kid_in_Trap_Island
