uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
388,Capeta,"Taira Kappeita, or Capeta, was a 4th grader boy. He had lost his mother when he had been very little. Although he pretended to be tough in front of his father, actually he felt lonely. One day, his father brought junk parts home from his workplace and made a racing cart. Soon, they went to a circuit to drive the cart. However, Capeta found that its frame was bent and it could hardly run straight. But, with his technique he managed the cart. Furthermore, he followed soon after the fast cart and he could nearly leave it behind. The driver in the cart was Minamoto Naomi, the champion of the East Japan Junior Cart. Looking at their chase, Naomi's mother, Minamoto Nanako, advised Capeta to take part in the official race. 
 
(Source: ANN)","['Cars', 'Shounen', 'Sports']","Oct 4, 2005 to Sep 26, 2006",52.0,16485,3511,741.0,7.88,https://cdn.myanimelist.net/images/anime/5/17667.jpg,https://myanimelist.net/anime/388/Capeta
187,Initial D Third Stage,"Shortly after graduating from high school, Takumi is approached by RedSuns leader Ryosuke Takahashi and offered to join him in forming a professional racing team. Before coming up with an answer to the proposal, Takumi seeks retribution by issuing a rematch to Emperor leader Kyouichi Sudou, who previously defeated him due to an engine failure. He is also challenged by Kai Kogashiwa, a second-generation street racer whose father was once a fierce rival of Takumi's father Bunta.  
","['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']","Jan 13, 2001",1.0,84283,1293,654.0,7.94,https://cdn.myanimelist.net/images/anime/13/40397.jpg,https://myanimelist.net/anime/187/Initial_D_Third_Stage
15059,Initial D Fifth Stage,"Taking place in the sacred land of street running Kanagawa, once more Takumi Fujiwara will show his driving skills in his now legendary Hachi-roku. ","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']","Nov 4, 2012 to May 10, 2013",14.0,65953,1570,407.0,8.14,https://cdn.myanimelist.net/images/anime/3/43573.jpg,https://myanimelist.net/anime/15059/Initial_D_Fifth_Stage
186,Initial D Second Stage,"Following his victory over RedSuns leader Ryosuke Takahashi, AE86 driver Takumi Fujiwara is challenged by the Lancer EVO-based ""Emperor,"" a group known for taking decals of racing teams they defeat, cutting them up and placing them on their cars like a fighter plane kill board. Takumi's undefeated streak is on the line as his AE86 is virtually no match against the more powerful and more agile four-wheel-drive EVOs of the Emperor team.  
 
(Source: ANN)","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']","Oct 15, 1999 to Jan 21, 2000",13.0,99776,1097,371.0,8.16,https://cdn.myanimelist.net/images/anime/8/12750.jpg,https://myanimelist.net/anime/186/Initial_D_Second_Stage
18,Initial D Fourth Stage,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']","Apr 17, 2004 to Feb 18, 2006",24.0,87746,1228,336.0,8.18,https://cdn.myanimelist.net/images/anime/12/43927.jpg,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
22507,Initial D Final Stage,"After defeating every racing team in the prefecture, everything comes down to one last race. Takumi Fujiwara has never lost a race, but when his opponent is also using an AE86, it turns into a battle of the AE86. Will Project D succeed in the final and most difficult race of Initial D?","['Sports', 'Cars', 'Seinen']","May 16, 2014 to Jun 22, 2014",4.0,60119,1672,276.0,8.26,https://cdn.myanimelist.net/images/anime/1404/101364.jpg,https://myanimelist.net/anime/22507/Initial_D_Final_Stage
185,Initial D First Stage,"Unlike his friends, Takumi Fujiwara is not particularly interested in cars, with little to no knowledge about the world of car enthusiasts and street racers. The son of a tofu shop owner, he is tasked to deliver tofu every morning without fail, driving along the mountain of Akina. Thus, conversations regarding cars or driving in general would only remind Takumi of the tiring daily routine forced upon him. 
 
One night, the Akagi Red Suns, an infamous team of street racers, visit the town of Akina to challenge the local mountain pass. Led by their two aces, Ryousuke and Keisuke Takahashi, the Red Suns plan to conquer every racing course in Kanto, establishing themselves as the fastest crew in the region. However, much to their disbelief, one of their aces is overtaken by an old Toyota AE86 during a drive back home from Akina. After the incident, the Takahashi brothers are cautious of a mysterious driver geared with remarkable technique and experience in the local roads—the AE86 of Mount Akina. 
 
[Written by MAL Rewrite]","['Action', 'Cars', 'Drama', 'Seinen', 'Sports']","Apr 19, 1998 to Dec 6, 1998",26.0,164115,674,232.0,8.3,https://cdn.myanimelist.net/images/anime/13/6801.jpg,https://myanimelist.net/anime/185/Initial_D_First_Stage
6675,Redline,"Every five years, an exhilarating race called Redline is held, and the universe's most anticipated competition has only one rule: that there are none. Racers are pushed to their absolute limit—a feeling that daredevil driver JP knows all too well. Having just qualified to participate in Redline, he is eager to battle against the other highly skilled drivers, particularly the beautiful rising star and the only other human that qualified, Sonoshee McLaren. 
 
But this year's Redline may be far more dangerous than usual—it has been announced to take place on the planet Roboworld with its trigger-happy military and criminals who look to turn the race to their own advantage. However, the potential danger doesn't stop the racers; in fact, it only adds to the thrill. Relying solely on his vehicle's speed, JP prepares for the event to come, aiming to take first place in the biggest race of his life. 
 
[Written by MAL Rewrite]","['Action', 'Sci-Fi', 'Cars', 'Sports']","Aug 14, 2009",1.0,207573,523,227.0,8.31,https://cdn.myanimelist.net/images/anime/12/28553.jpg,https://myanimelist.net/anime/6675/Redline
28881,New Initial D Movie: Legend 2 - Tousou,The second movie in a trilogy.,"['Cars', 'Seinen', 'Sports']","May 23, 2015",1.0,13223,3865,846.0,7.84,https://cdn.myanimelist.net/images/anime/6/72246.jpg,https://myanimelist.net/anime/28881/New_Initial_D_Movie__Legend_2_-_Tousou
19613,New Initial D Movie: Legend 1 - Kakusei,"The first movie in a trilogy, focusing on the battle against the Takahashi brothers.","['Action', 'Cars', 'Seinen', 'Sports']","Aug 24, 2014",1.0,17584,3418,845.0,7.84,https://cdn.myanimelist.net/images/anime/7/75648.jpg,https://myanimelist.net/anime/19613/New_Initial_D_Movie__Legend_1_-_Kakusei
