uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
38000,Kimetsu no Yaiba,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night. 
 
When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity. 
 
[Written by MAL Rewrite]","['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","Apr 6, 2019 to Sep 28, 2019",26.0,575037,106,19.0,8.92,https://cdn.myanimelist.net/images/anime/1286/99889.jpg,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
1253,Saint Seiya: Meiou Hades Meikai-hen,"Seiya and the rest of the Bronze and Gold Saints who have survived the Sanctuary battle have entered the world of the Dead. They are fighting to get to Hades and defeat him.  
 
(Source: ANN)","['Action', 'Adventure', 'Demons', 'Fantasy', 'Sci-Fi', 'Shounen', 'Super Power']","Dec 17, 2005 to Feb 6, 2007",12.0,33453,2409,799.0,7.86,https://cdn.myanimelist.net/images/anime/12/75732.jpg,https://myanimelist.net/anime/1253/Saint_Seiya__Meiou_Hades_Meikai-hen
451,InuYasha Movie 3: Tenka Hadou no Ken,"Izayoi and Inu no Taishou, Inuyasha's parents, are having problems with a human named Setsuna no Takemaru. Sou'unga a magical sword that has been sealed away for 700 years is found. Now everyone is after the sword and its powers but it seems the sword has something else in mind. 
 
(Source: ANN) 
","['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']","Dec 20, 2003",1.0,68407,1527,791.0,7.86,https://cdn.myanimelist.net/images/anime/1658/95332.jpg,https://myanimelist.net/anime/451/InuYasha_Movie_3__Tenka_Hadou_no_Ken
38435,Yao Shen Ji 3rd Season,The third Season of  Yao Shen Ji .,"['Action', 'Adventure', 'Demons', 'Fantasy', 'Martial Arts', 'Romance']","Oct 1, 2018 to Feb 1, 2019",40.0,3343,6783,738.0,7.89,https://cdn.myanimelist.net/images/anime/1134/95151.jpg,https://myanimelist.net/anime/38435/Yao_Shen_Ji_3rd_Season
1172,Slayers Try,"For nearly a millennium, demons have imposed a magical barrier that has impeded the people trapped within it from reaching the outside world. Now that it is broken, several kingdoms seek to explore the lands that were once beyond their grasp. To this end, they establish a peace delegation to make contact with the inhabitants of the new world. 
 
Meanwhile, the young sorceress Lina Inverse receives a message from a mysterious woman named Filia ul Copt. When they meet, Filia expresses interest in hiring Lina and her friends, having heard of their great deeds, for a certain task that will take them to the outside realm. Despite that, Filia feels the need to put their strength to the test and pits them against a dragon in the middle of the city! After proving themselves, the sorceress and her fellow adventurers set off for the unexplored lands, where many adventures and a worrying prophecy await them. 
 
[Written by MAL Rewrite]","['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']","Apr 4, 1997 to Sep 26, 1997",26.0,42662,2090,736.0,7.89,https://cdn.myanimelist.net/images/anime/10/50875.jpg,https://myanimelist.net/anime/1172/Slayers_Try
4080,Kyou kara Maou! 3rd Series,"At the end of season 2. Yuuri defeats Shinou, but since Shinou had been defeated, Yuuri and Murata could no longer go to the Shin Makoku. However, because Yuuri had fought and defeated him, his powers had surpassed that of Shinou's, resulting in him being able to rely on his own power to return to Shin Makoku. 
 
After the ceremony at the age of 16, Yuuri slowly begins to discover that much has happened while he was away. The ten officials of the noble family have decided to make Wolfram the next Maou, but now that Yuuri has returned and taken back his role as Maou, complications arise when one noble disagrees with Yuuri returning to the throne. 
 
In addition, an ancient secret society that threatens the peace of both humans and Mazoku has risen, and a fight for the throne that now leaves the nobles wondering who is the legitimate Maou. ","['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']","Apr 3, 2008 to Feb 19, 2009",39.0,25570,2804,733.0,7.89,https://cdn.myanimelist.net/images/anime/7/22639.jpg,https://myanimelist.net/anime/4080/Kyou_kara_Maou_3rd_Series
4898,Kuroshitsuji,"Young Ciel Phantomhive is known as ""the Queen's Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye? 
 
In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart. 
 
[Written by MAL Rewrite]","['Action', 'Mystery', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Shounen']","Oct 3, 2008 to Mar 27, 2009",24.0,684593,71,695.0,7.91,https://cdn.myanimelist.net/images/anime/5/27013.jpg,https://myanimelist.net/anime/4898/Kuroshitsuji
249,InuYasha (TV),"Based on the Shogakukan award-winning manga of the same name,  InuYasha  follows Kagome Higurashi, a fifteen-year-old girl whose normal life ends when a demon drags her into a cursed well on the grounds of her family's Shinto shrine. Instead of hitting the bottom of the well, Kagome ends up 500 years in the past during Japan's violent Sengoku period with the demon's true target, a wish-granting jewel called the Shikon Jewel, reborn inside of her. 
 
After a battle with a revived demon accidentally causes the sacred jewel to shatter, Kagome enlists the help of a young hybrid dog-demon/human named Inuyasha to help her collect the shards and prevent them from falling into the wrong hands. Joining Kagome and Inuyasha on their quest are the orphan fox-demon Shippo, the intelligent monk Miroku, and the lethal demon slayer Sango. Together, they must set aside their differences and work together to find the power granting shards spread across feudal Japan and deal with the threats that arise. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Magic', 'Romance', 'Fantasy', 'Shounen']","Oct 16, 2000 to Sep 13, 2004",167.0,456015,164,694.0,7.91,https://cdn.myanimelist.net/images/anime/1589/95329.jpg,https://myanimelist.net/anime/249/InuYasha_TV
35075,Hoozuki no Reitetsu 2nd Season,"Just as in this life, the afterlife needs a calm troubleshooter to deal with the bureaucratic headaches that come from keeping things in order. Enter Hozuki: a cool and collected demon who’s badly in need of a vacation. 
 
(Source: HIDIVE)","['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Oct 8, 2017 to Dec 31, 2017",13.0,28922,2629,683.0,7.92,https://cdn.myanimelist.net/images/anime/8/88280.jpg,https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season
15809,Hataraku Maou-sama!,"Striking fear into the hearts of mortals, the Demon Lord Satan begins to conquer the land of Ente Isla with his vast demon armies. However, while embarking on this brutal quest to take over the continent, his efforts are foiled by the hero Emilia, forcing Satan to make his swift retreat through a dimensional portal only to land in the human world. Along with his loyal general Alsiel, the demon finds himself stranded in modern-day Tokyo and vows to return and complete his subjugation of Ente Isla—that is, if they can find a way back! 
 
Powerless in a world without magic, Satan assumes the guise of a human named Sadao Maou and begins working at MgRonald's—a local fast-food restaurant—to make ends meet. He soon realizes that his goal of conquering Ente Isla is just not enough as he grows determined to climb the corporate ladder and become the ruler of Earth, one satisfied customer at a time! 
 
Whether it's part-time work, household chores, or simply trying to pay the rent on time,  Hataraku Maou-sama!  presents a hilarious view of the most mundane aspects of everyday life, all through the eyes of a hapless demon lord. 
 
[Written by MAL Rewrite]","['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy']","Apr 4, 2013 to Jun 27, 2013",13.0,808817,55,681.0,7.92,https://cdn.myanimelist.net/images/anime/3/50177.jpg,https://myanimelist.net/anime/15809/Hataraku_Maou-sama
