uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
39940,Shokugeki no Souma: Shin no Sara,Fourth season of  Shokugeki no Souma .,"['Ecchi', 'School', 'Shounen']","Oct 12, 2019 to Dec 28, 2019",12.0,162213,683,773.0,7.87,https://cdn.myanimelist.net/images/anime/1258/102849.jpg,https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara
5781,Isekai no Seikishi Monogatari,"Kenshi Masaki has been kidnapped and brought to the world of Geminar by a mysterious group. To get back home, he agrees to help them assassinate the newly crowned empress of the Shtrayu Empire, Lashara Aasu XXVIII, using a giant robot called a Sacred Mechanoid. 
  
As her army fights them off, Lashara takes note of Kenshi's abilities and demands that her attacker be captured alive, only to find out that the pilot is male which is extremely rare on Geminar. Believing it to be a waste to kill him, she makes Kenshi her attendant. 
  
As the empress' new servant, Kenshi is required to accompany Lashara to the Holy Land, an academy where Sacred Mechanoid pilots hone their skills. His arrival attracts attention, but Kenshi is unaware that something sinister is brewing within the academy and it could plunge the entire world into war. 
 
[Written by MAL Rewrite]","['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']","May 22, 2009 to May 26, 2010",13.0,130797,860,640.0,7.95,https://cdn.myanimelist.net/images/anime/2/20345.jpg,https://myanimelist.net/anime/5781/Isekai_no_Seikishi_Monogatari
15689,Nekomonogatari: Kuro,"After surviving a vampire attack, Koyomi Araragi notices that his friend and savior, Tsubasa Hanekawa, has been acting strange. When he happens to cross paths with her on his way to a bookstore and sees she has a bandage on her face, he knows something must definitely be wrong. Araragi wants to help her, but Hanekawa assures him that her wound is just something she received at home and that he should not concern himself with it. But when a white cat with no tail is hit and killed by a car, the pair bury the creature and the real trouble begins. 
 
When Araragi later pays a visit to his friend Meme Oshino and recounts the day's events, he is informed what they have buried is actually an apparition, one perfect for Hanekawa in her current state. Tasked with finding his friend to confirm her safety, he discovers that she has attacked her parents, possessed by the ""Sawari Neko."" Now, it is up to Araragi to help Hanekawa as she once helped him. 
 
[Written by MAL Rewrite]","['Comedy', 'Supernatural', 'Romance', 'Ecchi']","Dec 31, 2012",4.0,329619,296,548.0,8.02,https://cdn.myanimelist.net/images/anime/4/84001.jpg,https://myanimelist.net/anime/15689/Nekomonogatari__Kuro
268,Golden Boy,"Kintarou Ooe is a specialist in part-time work, riding all over the highways and byways of Japan on his trusty steed, the Mikazuki 5, and finding employment wherever he can. His adventures bring him knowledge and experience that can't be taught in a classroom, from political corruption to the delicacy of a young woman's heart. With nothing but the open road before him—not to mention the many beautiful women along the way—Kintarou pursues his spirit of education while attempting to hold down his various odd jobs, however undignified they may be. As he learns from each task he takes on, who knows what could happen? He might even be able to save the world one day. One thing is for sure—this will all be very educational! 
 
[Written by MAL Rewrite]","['Adventure', 'Comedy', 'Ecchi']","Oct 27, 1995 to Jun 28, 1996",6.0,197055,545,517.0,8.04,https://cdn.myanimelist.net/images/anime/3/62867.jpg,https://myanimelist.net/anime/268/Golden_Boy
36885,Saenai Heroine no Sodatekata Fine,,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']","Oct 26, 2019",1.0,39449,2210,505.0,8.06,https://cdn.myanimelist.net/images/anime/1306/102763.jpg,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
23755,Nanatsu no Taizai,"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones. 
 
Based on the best-selling manga series of the same name,  Nanatsu no Taizai  follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world. 
  
[Written by MAL Rewrite]","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']","Oct 5, 2014 to Mar 29, 2015",24.0,946095,38,397.0,8.15,https://cdn.myanimelist.net/images/anime/8/65409.jpg,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
18679,Kill la Kill,"After the murder of her father, Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead—the missing half of his invention, the Scissor Blade—she arrives at the prestigious Honnouji Academy, a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings, the Elite Four. In the school's brutally competitive hierarchy, Satsuki bestows upon those at the top special clothes called ""Goku Uniforms,"" which grant the wearer unique superhuman abilities.  
 
Thoroughly beaten in a fight against one of the students in uniform, Ryuuko retreats to her razed home where she stumbles across Senketsu, a rare and sentient ""Kamui,"" or God Clothes. After coming into contact with Ryuuko's blood, Senketsu awakens, latching onto her and providing her with immense power. Now, armed with Senketsu and the Scissor Blade, Ryuuko makes a stand against the Elite Four, hoping to reach Satsuki and uncover the culprit behind her father's murder once and for all.  
 
[Written by MAL Rewrite]","['Action', 'Comedy', 'Super Power', 'Ecchi', 'School']","Oct 4, 2013 to Mar 28, 2014",24.0,980779,30,375.0,8.16,https://cdn.myanimelist.net/images/anime/8/75514.jpg,https://myanimelist.net/anime/18679/Kill_la_Kill
28025,Tsukimonogatari,"Koyomi Araragi is studying hard in preparation for his college entrance exams when he begins to notice something very strange: his reflection no longer appears in a mirror, a characteristic of a true vampire. Worried about the state of his body, he enlists the help of the human-like doll Yotsugi Ononoki and her master Yozuru Kagenui, an immortal oddity specialist. 
 
Quickly realizing what is wrong with him, Yozuru gives him two choices: either abstain from using the vampiric abilities he received from Shinobu Oshino, or lose his humanity forever. 
 
[Written by MAL Rewrite]","['Mystery', 'Comedy', 'Supernatural', 'Ecchi']","Dec 31, 2014",4.0,242523,415,361.0,8.17,https://cdn.myanimelist.net/images/anime/6/68259.jpg,https://myanimelist.net/anime/28025/Tsukimonogatari
28071,Itsumo Kokoro ni Taiyou wo!,"Follows the story of the manga of the same name where a a high school boy finds a room for a boarding house that only costs 30,000 yen a month (about 300 USD). But there's a catch. ","['Comedy', 'Ecchi']","Nov 2, 1999 to Nov 26, 1999",16.0,493,11186,337.0,8.18,https://cdn.myanimelist.net/images/anime/11/67945.jpg,https://myanimelist.net/anime/28071/Itsumo_Kokoro_ni_Taiyou_wo
11597,Nisemonogatari,"Surviving a vampire attack, meeting several girls plagued by supernatural entities, and just trying to get through life are some of the things high school student Koyomi Araragi has had to deal with lately. On top of all this, he wakes up one morning to find himself kidnapped and tied up by his girlfriend Hitagi Senjougahara. Having run afoul of Deishuu Kaiki, a swindler who conned Senjougahara's family, she has taken it upon herself to imprison Araragi to keep him safe from the con man. But when Araragi gets a frantic message from his sister Karen, he learns that the fraud has set his sights on her. 
 
Along with Karen's troubles, his other sister, Tsukihi, is having issues of her own. And when two mysterious women who seem to know more than they should about Araragi and his special group of friends step into their lives, not even he could anticipate their true goals, nor the catastrophic truths soon to be revealed. 
 
[Written by MAL Rewrite]","['Mystery', 'Comedy', 'Supernatural', 'Ecchi']","Jan 8, 2012 to Mar 18, 2012",11.0,455598,166,319.0,8.2,https://cdn.myanimelist.net/images/anime/1044/103654.jpg,https://myanimelist.net/anime/11597/Nisemonogatari
