uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
12375,Maki-chan to Now.,"Based on the visual novel by Waffle. 
 
Sanjou Maki is the girl living next door to Sakonji Seiichi. She appears to be well-bred, gifted with both beauty and brains. However, one night, Seiichi sees her masturbating on the veranda... 
 
Maki easily admits that she's a dirty girl and jokingly suggests to Seiichi that she should be blackmailed into being his sex-slave. 
 
(Source: Collaboration Works)",['Hentai'],"Feb 24, 2012 to Dec 26, 2014",4.0,18623,3314,,7.55,https://cdn.myanimelist.net/images/anime/7/85630.jpg,https://myanimelist.net/anime/12375/Maki-chan_to_Now
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,"In the land of Eostia, humans and dark elves have fought for supremacy for over a century. The dark elves rule over a race of monsters that has raided human lands for generations, capturing and defiling their women. Aided by powerful bands of mercenaries, the human kingdoms have gradually pushed back their old rivals. 
 
But the mercenaries would not settle for these victories. Led by the cruel general Volt, the sellswords declare independence. With the support of the savage orcs, their new nation attacks human and dark elf alike, carving out a kingdom where men reign supreme and women are little more than slaves. Even the dark elves' castle is conquered and their queen taken prisoner. 
 
The sole hope for peace in these lands rests with a fellowship of seven princess knights, handpicked by the goddess of the high elves. But is their power enough to cleanse the evil from their world?","['Action', 'Hentai', 'Fantasy']","Jan 27, 2012 to Dec 28, 2018",6.0,21164,3110,,7.57,https://cdn.myanimelist.net/images/anime/1933/103847.jpg,https://myanimelist.net/anime/11827/Kuroinu__Kedakaki_Seijo_wa_Hakudaku_ni_Somaru
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,"Haruomi Shiki's peaceful life on a small island was shattered when a volcano erupted and destroyed his home. He goes to stay with a relative, where he meets the sexy sisters Natsumi, Akina, and Mafuyu Orifushi, who he immediately finds himself attracted to.  
 
While staying there, he finds out that the father of the Orifushi household has died, and that Natsumi inherited their ice cream business, MinMin. Their district holds an annual competition involving all ice cream stores, which MinMin always wins. But this year, a new ice cream shop called 101 opens a branch in the district, and they are a competitor that could beat MinMin. On top of that, the quality of the ice cream produced by MinMin has been significantly reduced since their father died. Will they be able to overcome such a handicap? Only time will tell, but with Haruomi helping the sisters with the ice cream shop, and also fulfilling his more salacious desires with them, he will have his hands full in more ways than one! 
 
[Written by MAL Rewrite]","['Harem', 'Hentai']","Dec 25, 2009 to May 20, 2011",3.0,28625,2634,,7.57,https://cdn.myanimelist.net/images/anime/2/17720.jpg,https://myanimelist.net/anime/7411/Kanojo_x_Kanojo_x_Kanojo__Sanshimai_to_no_DokiDoki_Kyoudou_Seikatsu
15843,Koiito Kinenbi The Animation,"Based on the manga by TakayaKi. 
 
A collection of short but sweet romantic stories with happy endings.",['Hentai'],"Dec 21, 2012 to Mar 22, 2013",2.0,12919,3917,,7.58,https://cdn.myanimelist.net/images/anime/1227/103858.jpg,https://myanimelist.net/anime/15843/Koiito_Kinenbi_The_Animation
22069,Swing Out Sisters (2014),"Full, 80-minute version of  Swing Out Sisters .",['Hentai'],"Jan 30, 2014",1.0,11670,4078,,7.61,https://cdn.myanimelist.net/images/anime/1132/91740.jpg,https://myanimelist.net/anime/22069/Swing_Out_Sisters_2014
11879,Oni Chichi: Re-born,"Continuing after the events of Oni Chichi: Re-birth... Airi, Marina, and their step father, Takami, leave for a trip to a hot springs resort. But Marina makes last minute plans and just the two of them go. Takami still constantly tries to drug Airi. ",['Hentai'],"Dec 22, 2011 to Dec 28, 2012",2.0,23771,2931,,7.63,https://cdn.myanimelist.net/images/anime/1917/103846.jpg,https://myanimelist.net/anime/11879/Oni_Chichi__Re-born
10779,Eroge! H mo Game mo Kaihatsu Zanmai,"Mochizuki Tomoya is a guy that lives on his own with only a day job at a convenience store keeping him afloat. While he really likes eroge, he can't draw, isn't much of a writer or composer, and doesn't know much about business. Still, his dream is to get a job at an eroge studio in hopes of creating what he loves, eroge. 
 
Tomoya's luck takes a turn for the better when he sees a help wanted ad for the local studio Flower, and after a meeting with the company president (who to his surprise looks like an elementary school kid), manages to get a job as administrator of the company's website. Tomoya's glee at being part of the eroge industry is short-lived, as he soon learns that Flower is on the chopping block due to their first title being a massive failure. 
 
After playing through Flower's first title, Tomoya realizes that his co-workers don't know anything about eroge, lacking the insight and understanding needed to make a good game. After some nudging from the president of Flower's parent company and some soul searching of his own, our protagonist takes it upon himself to save Flower by teaching the four girls on staff the ins and outs of what makes an eroge good. The story thus focuses on Tomoya's role as a psuedo-consultant while getting to know the four heroines of the story as the player is given an interesting look at the world of eroge development. 
 
(Source: Taken from a review by Moroboshi Yuumei)",['Hentai'],"Aug 26, 2011 to Mar 25, 2016",6.0,38669,2237,,7.67,https://cdn.myanimelist.net/images/anime/1988/103841.jpg,https://myanimelist.net/anime/10779/Eroge_H_mo_Game_mo_Kaihatsu_Zanmai
25345,Rance 01: Hikari wo Motomete The Animation,"Anime adaptation of the 2013 remake of the 1989 AliceSoft adult PC game  Rance 01 . 
 
Rance follows the namesake hero who is tasked with finding and protecting the daughter of a guild owner; however, the case turns out to be much deeper than it initially appears to be. 
 
(Source: MAL News)","['Fantasy', 'Hentai', 'Magic']","Dec 26, 2014 to Jun 24, 2016",4.0,18236,3357,,7.72,https://cdn.myanimelist.net/images/anime/10/67287.jpg,https://myanimelist.net/anime/25345/Rance_01__Hikari_wo_Motomete_The_Animation
39392,Master Piece The Animation,"After his parents passed away many years ago, Yuuji Enomoto was adopted into the family of his childhood friends Yuna and Nina Tsubakihara and their mother Mira. Now in high school and known as Yuuji Tsubakihara, he lives under the same roof as a pair of cute twins and a beautiful older woman. Although the shy, reserved Yuna and the outgoing, talented Nina are his family, Yuuji submits to his desires after witnessing Yuna turn down a confession. But as Yuuji and Yuna finally consummate their lifelong love, can Nina and Mira stand idly by? 
 
[Written by MAL Rewrite]",['Hentai'],"May 31, 2019 to ?",,3584,6572,,8.03,https://cdn.myanimelist.net/images/anime/1195/101107.jpg,https://myanimelist.net/anime/39392/Master_Piece_The_Animation
29575,Mankitsu Happening,"Keiichi Oyamada has a mysterious power that always makes him seem like a lucky pervert, as one way or another, he ends up having sexual intercourse with any female he meets. Due to this, he has never had a stable job as he continually gets fired from any place unfortunate enough to employ him.  
 
One job opportunity arises when his best friend calls him to work at a manga cafe, which Keiichi reluctantly accepts. However, as soon as he starts his new job, he meets Rei Suzukawa, a fellow employee, and Kururu Hiiragi, his childhood friend. Both of them are very beautiful, and Keiichi fears that even they might not be spared by his lucky perverted powers. 
 
[Written by MAL Rewrite] 
",['Hentai'],"Mar 27, 2015 to Aug 28, 2015",4.0,27296,2718,,7.86,https://cdn.myanimelist.net/images/anime/9/77590.jpg,https://myanimelist.net/anime/29575/Mankitsu_Happening
