uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
1571,Ghost Hunt,"While at school, Taniyama Mai and her friends like to exchange ghost stories. Apparently, there is an abandoned school building on their campus that is the center of many ghost stories. During the story, they are interrupted by a mysterious male figure. The person turns out to be Shibuya Kazuya, a 17-year-old who is president of the Shibuya Psychic Research Company. He was called by the principal to investigate the stories surrounding the abandoned school building. 
 
The next day, on the way to school, Mai passes the school building in question. While examining a strange camera she spotted inside, she gets surprised by Kazuya's assistant. Unknowingly interfering with the investigation, Mai breaks the camera and Kazuya's assistant gets injured. 
 
Kazuya forcefully hires Mai in order to pay for the camera and replace his injured assistant. From that point on, Mai begins to learn about the paranormal world and the profession of ghost hunting. 
 
[Written by MAL Rewrite]","['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']","Oct 4, 2006 to Mar 28, 2007",25.0,172769,630,760.0,7.87,https://cdn.myanimelist.net/images/anime/11/73908.jpg,https://myanimelist.net/anime/1571/Ghost_Hunt
12445,Tasogare Otome x Amnesia,"Seikyou Private Academy, built on the intrigue of traditional occult myths, bears a dark past—for 60 years, it has been haunted by a ghost known as Yuuko, a young woman who mysteriously died in the basement of the old school building. With no memory of her life or death, Yuuko discreetly finds and heads the Paranormal Investigations Club in search of answers. 
 
A chance meeting leads Yuuko to cling to diligent freshman Teiichi Niiya, who can see the quirky ghost, they quickly grow close, and he decides to help her. Along with Kirie Kanoe, Yuuko's relative, and the oblivious second year Momoe Okonogi, they delve deep into the infamous Seven Mysteries of the storied school. 
 
 Tasogare Otome x Amnesia  tells a unique tale of students who work together to shed light on their school's paranormal happenings, all the while inching closer to the truth behind Yuuko's death. 
 
[Written by MAL Rewrite]","['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']","Apr 9, 2012 to Jun 25, 2012",12.0,270355,366,702.0,7.91,https://cdn.myanimelist.net/images/anime/12/64435.jpg,https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia
543,Vampire Hunter D (2000),"The story revolves around D, the infamous ""dunpeal"" (born of a vampire father and a human mother) outcast and renowned vampire hunter. His prowess at hunting the creatures of the night allowing his acceptance among humans, he is called upon to locate Charlotte Elbourne, the lovely daughter of an affluent family who has been mysteriously kidnapped. 
 
When the sun sets, the hunt goes on! Charlotte's father offers a rich bounty, be she dead or alive, a task D willingly accepts, even with notorious Markus brothers and their gang of bounty hunters seeking the prize as well. Amidst the chase and unknown to all lurks, a sinister evil which has been secretly manipulating their every move and has set a chilling trap that none will expect and few will survive. With the tables turned and the secrets revealed, the hunters could quickly become the hunted! 
 
(Source: AniDB)","['Action', 'Sci-Fi', 'Horror', 'Drama', 'Romance', 'Vampire', 'Fantasy']","Aug 25, 2000",1.0,106472,1043,688.0,7.92,https://cdn.myanimelist.net/images/anime/9/21432.jpg,https://myanimelist.net/anime/543/Vampire_Hunter_D_2000
22319,Tokyo Ghoul,"Tokyo has become a cruel and merciless city—a place where vicious creatures called “ghouls” exist alongside humans. The citizens of this once great metropolis live in constant fear of these bloodthirsty savages and their thirst for human flesh. However, the greatest threat these ghouls pose is their dangerous ability to masquerade as humans and blend in with society. 
 
Based on the best-selling supernatural horror manga by Sui Ishida,  Tokyo Ghoul  follows Ken Kaneki, a shy, bookish college student, who is instantly drawn to Rize Kamishiro, an avid reader like himself. However, Rize is not exactly who she seems, and this unfortunate meeting pushes Kaneki into the dark depths of the ghouls' inhuman world. In a twist of fate, Kaneki is saved by the enigmatic waitress Touka Kirishima, and thus begins his new, secret life as a half-ghoul/half-human who must find a way to integrate into both societies. 
 
[Written by MAL Rewrite]","['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Jul 4, 2014 to Sep 19, 2014",12.0,1346036,6,674.0,7.93,https://cdn.myanimelist.net/images/anime/5/64449.jpg,https://myanimelist.net/anime/22319/Tokyo_Ghoul
35120,Devilman: Crybaby,"Devils cannot take form without a living host. However, if the will of an individual is strong enough, they can overcome the demon and make its power their own, becoming a Devilman. 
 
Weak and unassuming, Akira Fudou has always had a bleeding heart. So when his childhood friend Ryou Asuka asks for his help in uncovering devils, Akira accepts without hesitation. However, to Akira's surprise, the place they go to is Sabbath: an immoral party of debauchery and degeneracy. Amidst bloodshed and death, demons possess the partiers, turning their bodies into grotesque monsters, and begin wreaking havoc. In a reckless attempt to save his best friend, Akira unwittingly merges with the devil Amon and becomes a Devilman, gaining the power to defeat the remaining demons. 
 
Though it grants him great power, this new partnership awakens an insatiable and primeval part of Akira. Having the body of a devil but the same crybaby heart, Akira works alongside Ryou, destroying those that harm humanity and his loved ones. 
 
[Written by MAL Rewrite]","['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']","Jan 5, 2018",10.0,358644,261,650.0,7.94,https://cdn.myanimelist.net/images/anime/2/89973.jpg,https://myanimelist.net/anime/35120/Devilman__Crybaby
1594,Jigoku Shoujo Futakomori,"Ai Enma and her companions continue to offer their service of revenge against those who have wronged others, and the price is as steep as ever—for damning the offender to hell, the person exacting vengeance is sent to the abyss as well. As they cast soul after soul into the darkness, a new sinister force is watching them: a little girl named Kikuri. 
 
While Ai continues her duties, she meets a boy named Takuma Kurebayashi, known as the ""Devil's Child"" because of the horrific events that occur around him. Unfortunately, Takuma's reputation leads the townspeople to use him as a scapegoat for those who have been ferried off to hell. When things quickly spiral out of control, Ai must find a way to bring an end to this senseless violence, as it poses a threat to her very existence. 
 
[Written by MAL Rewrite]","['Mystery', 'Horror', 'Psychological', 'Supernatural']","Oct 7, 2006 to Apr 7, 2007",26.0,116187,970,582.0,8.0,https://cdn.myanimelist.net/images/anime/5/86975.jpg,https://myanimelist.net/anime/1594/Jigoku_Shoujo_Futakomori
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,"The Band of the Hawk and their enigmatic leader Griffith continue winning battle after battle as their prestige throughout the kingdom of Midland grows. But their latest task is one that has seen failure from everyone who has attempted it: the subjugation of the impenetrable fortress of Doldrey.  
 
But with members like Guts—the captain of the Hawks' raiders who can easily fell 100 men with his gigantic sword—such tasks prove to be trivial. However, in the aftermath of the battle, Guts decides to leave the Hawks in order to pursue his own dream and bids farewell to his companions, despite Griffith's attempts to make him stay. This single event causes Griffith to lose his composure, and leads him to make a decision that will alter his and the Hawks' fates forever. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']","Jun 23, 2012",1.0,123559,910,578.0,8.0,https://cdn.myanimelist.net/images/anime/12/37193.jpg,https://myanimelist.net/anime/12113/Berserk__Ougon_Jidai-hen_II_-_Doldrey_Kouryaku
934,Higurashi no Naku Koro ni,"Keiichi Maebara has just moved to the quiet little village of Hinamizawa in the summer of 1983, and quickly becomes inseparable friends with schoolmates Rena Ryuuguu, Mion Sonozaki, Satoko Houjou, and Rika Furude. However, darkness lurks underneath the seemingly idyllic life they lead.  
 
As the village prepares for its annual festival, Keiichi learns about the local legends surrounding it. To his horror, he discovers that there have been several murders and disappearances in the village in the recent years, and that they all seem to be connected to the festival and the village's patron god, Oyashiro. Keiichi tries to ask his new friends about these incidents, but they are suspiciously silent and refuse to give him the answers he needs. As more and more bizarre events occur, he wonders just what else his friends might be keeping from him, and if he can even trust them at all. 
 
When madness and paranoia begin taking root in Keiichi's heart, he will stumble straight into the mysteries at work in  Higurashi no Naku Koro ni , a story that is told across multiple arcs. 
 
[Written by MAL Rewrite]","['Mystery', 'Dementia', 'Horror', 'Psychological', 'Supernatural', 'Thriller']","Apr 5, 2006 to Sep 27, 2006",26.0,530024,118,519.0,8.04,https://cdn.myanimelist.net/images/anime/12/19634.jpg,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni
1943,Paprika,"The world of dreams can be an incredible window into the psyche, showing one's deepest desires, aspirations, and repressed memories. One hopeful tech lab has been developing the ""DC Mini,"" a device with the power to delve into the dreams of others. Atsuko Chiba and Kosaku Tokita have been tirelessly working to develop this technology with the hopes of using it to deeply explore patients' minds and help cure them of their psychological disorders. 
 
However, having access to the deepest corners of a person's mind comes with a tremendous responsibility. In the wrong hands, the DC Mini could be used as a form of psychological terrorism and cause mental breakdowns in the minds of targets. When this technology is stolen and people around them start acting strangely, Atsuko and Kosaku know they have a serious problem on their hands. Enlisting the help of Officer Konakawa, who has been receiving this experimental therapy, they search both the real and dream worlds for their mental terrorist. 
 
[Written by MAL Rewrite]","['Dementia', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Thriller']","Nov 25, 2006",1.0,289048,333,463.0,8.09,https://cdn.myanimelist.net/images/anime/1929/93629.jpg,https://myanimelist.net/anime/1943/Paprika
47,Akira,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" 
 
During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees. 
 
[Written by MAL Rewrite]","['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']","Jul 16, 1988",1.0,413262,195,331.0,8.18,https://cdn.myanimelist.net/images/anime/2/82596.jpg,https://myanimelist.net/anime/47/Akira
12115,Berserk: Ougon Jidai-hen III - Kourin,"The Band of the Hawk has dwindled in the year since Guts left them on his journey to forge his own destiny. Unaware of their fate, Guts returns to the Hawks—now being led by his former ally Casca—after a rumor about them passes his way. Once the saviors of the kingdom of Midland, the Band of the Hawk are now hunted as they desperately fight for their lives while plotting to free their leader, Griffith, after he was imprisoned for committing treason. But the man they save is far from the Griffith they remember. 
 
Griffith is a shell of his former charismatic self after a year of continuous, horrific torture. No longer able to walk, speak, or even hold a sword, he has nothing but the small, strange trinket, the Crimson Behelit, that will not leave him. The entire Band of the Hawk want to rise to greatness once more, but how much are they willing to sacrifice to return to their past glory? It doesn't seem possible, but when Griffith's heart darkens and a solar eclipse blackens the sky, the Behelit offers a choice that will leave the Band of the Hawk with a blood-soaked fate that will haunt them for the rest of their days. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']","Feb 1, 2013",1.0,127471,886,271.0,8.26,https://cdn.myanimelist.net/images/anime/12/41305.jpg,https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin
437,Perfect Blue,"J-pop idol group CHAM! has spent the last two years entertaining its fans. Sadly, all good things must come to an end, and CHAM! must see one of its members, Mima Kirigoe, leave the group to pursue her acting career. While Mima's choice is met with a mixed response, she hopes her fans will continue to support her. 
 
However, Mima's life begins to change drastically after her departure from the group. Wanting to shed her pop-idol image, she takes on a role in a crime drama series, and her career as an actress gradually becomes more demanding and taxing for both Mima and her manager, Rumi Hidaka. To add to Mima's growing unease, an obsessed fan who is incapable of accepting that Mima has quit being an innocent idol, begins stalking her; a new anonymous website begins to impersonate her life with intricate detail; and CHAM! also appears to be doing better without her. One by one, each disturbing development drives Mima to become increasingly unhinged and unable to distinguish reality from fantasy. 
 
[Written by MAL Rewrite]","['Dementia', 'Drama', 'Horror', 'Psychological']","Feb 28, 1998",1.0,255885,386,164.0,8.39,https://cdn.myanimelist.net/images/anime/11/79127.jpg,https://myanimelist.net/anime/437/Perfect_Blue
2246,Mononoke,"The ""Medicine Seller"" is a deadly and mysterious master of the occult who travels across feudal Japan in search of malevolent spirits called ""mononoke"" to slay. When he locates one of these spirits, he cannot simply kill it; he must first learn its Form, its Truth, and its Reason in order to wield the mighty Exorcism Sword and fight against it. He must begin  his strange exorcisms with intense psychological analysis and careful investigative work—an extremely dangerous step, as he must first confront and learn about the mononoke before he even has the means to defeat it. 
 
The Medicine Seller's journey leads him to an old-fashioned inn where Shino, a pregnant woman, has finally found a place to rest. The owner has reluctantly placed her in the last vacant room; however, as she settles in, it quickly becomes clear that the room is infested by a lethal band of mononoke, the Zashiki Warashi. With his hunter's intuition, the Medicine Seller begins his investigation to discover the Form, the Truth, and the Reason before the Zashiki Warashi can kill again. 
 
[Written by MAL Rewrite]","['Mystery', 'Historical', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Fantasy', 'Seinen']","Jul 13, 2007 to Sep 28, 2007",12.0,162377,683,146.0,8.41,https://cdn.myanimelist.net/images/anime/3/20713.jpg,https://myanimelist.net/anime/2246/Mononoke
13125,Shinsekai yori,"Following a sudden outbreak of psychokinesis in 0.1% of the population, a rapid transformation swept the world. The godlike ability to manipulate matter remotely turned many power wielders to violence, inciting a long period of upheaval. Finally, after a chaotic era shaped by the rise and fall of oppressive regimes, the psychic humans were able to achieve a fragile peace by isolating their society, creating a new world bound by complex rules. 
 
In the town of Kamisu 66, 12-year-old Saki Watanabe has just awakened to her powers and is relieved to rejoin her friends—the mischievous Satoru Asahina, the shy Mamoru Itou, the cheerful Maria Akizuki, and Shun Aonuma, a mysterious boy whom Saki admires—at Sage Academy, a special school for psychics. However, unease looms as Saki begins to question the fate of those unable to awaken to their powers, and the children begin to get involved with secretive matters such as the rumored Tainted Cats said to abduct children. 
 
 Shinsekai yori  tells the unique coming-of-age story of Saki and her friends as they journey to grow into their roles in the supposed utopia. Accepting these roles, however, might not come easy when faced with the dark and shocking truths of society, and the impending havoc born from the new world. 
 
[Written by MAL Rewrite]","['Sci-Fi', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama']","Sep 29, 2012 to Mar 23, 2013",25.0,514093,125,142.0,8.42,https://cdn.myanimelist.net/images/anime/12/36775.jpg,https://myanimelist.net/anime/13125/Shinsekai_yori
