uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"Violinist Kiyora Miki meets with Shinichi Chiaki, Megumi ""Nodame"" Noda, and their two friends to visit world-class conductor Franz von Stresemann; upon arriving at his residence in Vienna, they discover that the maestro has escaped to Japan. As they make the most of their wasted trip by visiting important landmarks in the historical capital of classical music, Kiyora has a confession to make: she has not seen her boyfriend Ryuutarou Mine for an entire year and is still busy preparing for an international competition in Paris. Chiaki and Nodame promise to attend the final round, but when the two are back in Paris, they receive an unexpected guest... 
 
[Written by MAL Rewrite] 
","['Comedy', 'Josei', 'Music', 'Romance']","Apr 7, 2010",1.0,33038,2428,750.0,7.88,https://cdn.myanimelist.net/images/anime/8/19590.jpg,https://myanimelist.net/anime/8038/Nodame_Cantabile__Finale_-_Mine_to_Kiyora_no_Saikai
322,Paradise Kiss,"On her way home from school, Yukari Hayasaka is approached by a weird-looking guy who starts looking at her body intently. He's got blond spiky hair, a spiked choker, and multiple piercings on his ears and face. She wants nothing to do with him, and runs away, only to bump into a very tall and beautiful purple-haired woman with a flower pattern around her eye. Yukari faints from shock and wakes up later in a strange place called the Atelier. It turns out that these strangers are fashion designers who attend the most famous art school around, Yazawa Art Academy, and their group wants Yukari to model for their brand in Yazawa Academy's upcoming show. 
 
Yukari turns down their offer and escapes the Atelier, but unknowingly leaves her school ID behind. George Koizumi, the head designer, later sees it and immediately knows she would be the perfect model for them and will not stop until he gets what he wants—and he wants her. Yukari had never considered something as frivolous as modeling before, but could life among these eccentric designers actually prove to be fun? Or will Yukari lose herself in this world of art and passion? 
 
[Written by MAL Rewrite] 
","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Oct 14, 2005 to Dec 30, 2005",12.0,122787,916,772.0,7.87,https://cdn.myanimelist.net/images/anime/7/80636.jpg,https://myanimelist.net/anime/322/Paradise_Kiss
13119,Hakuouki Movie 2: Shikon Soukyuu,Second part of two Hakuouki movies.,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']","Mar 8, 2014",1.0,15583,3615,729.0,7.89,https://cdn.myanimelist.net/images/anime/12/71796.jpg,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu
12815,Shirokuma Cafe,"Situated near the local zoo and owned by the charismatic polar bear Shirokuma, Shirokuma Cafe is a popular spot for animals and humans alike, allowing them to sit back and relax after a hard day of work. Whether it's a cold beverage or the latest item on his menu, Shirokuma finds joy in being able to serve his customers, often striking up conversations about various subjects. 
 
Together with the sarcastic Penguin and the clumsy Panda, they form an odd trio who get themselves caught up in all sorts of misadventures with their other friends such as Grizzly, a bar owner, and Sasako, a human who works at the cafe. From dealing with unrequited love, outdoor camping trips, karaoke sessions, and even the secret to brewing delicious coffee, there's always something bound to be happening in Shirokuma Cafe! 
 
[Written by MAL Rewrite]","['Slice of Life', 'Comedy', 'Josei']","Apr 5, 2012 to Mar 28, 2013",50.0,65819,1568,605.0,7.99,https://cdn.myanimelist.net/images/anime/6/75649.jpg,https://myanimelist.net/anime/12815/Shirokuma_Cafe
11113,Usagi Drop Specials,"Four short episodes bundled with DVD/Blu-Ray. 
Vol.1: Episode 2.5 ""Aquarium of Leaves"" 
Vol.2: Episode 3.5 ""Dear My Santa Claus"" 
Vol.3: Episode 6.5 ""Full Blossom in the Sky"" 
Vol.4: Episode 8.5 ""Way Home""","['Josei', 'Slice of Life']","Oct 28, 2011 to Jan 27, 2012",4.0,53221,1816,539.0,8.03,https://cdn.myanimelist.net/images/anime/7/30759.jpg,https://myanimelist.net/anime/11113/Usagi_Drop_Specials
16,Hachimitsu to Clover,"Yuuta, Takumi, and Shinobu share a six-tatami room apartment with no bath. The rent is low and it's perfect for poor college students such as themselves. Shinobu is a mysterious, quirky person, who does things on a whim. Takumi is passionate both in work and love, and Yuuta is a simple person with simple dreams and desires. That is, until he meets Hagumi, a petite girl with enormous amount of talent. Hagumi is fondly called Hagu by Shuuji, who serves as Hagu's guardian. Hagu meets Ayumi, nicknamed Ayu, and they become close friends almost instantly. Meanwhile, Ayu falls for one of the boys... 
 
The joys of falling in love, the pain of letting go, discovering one's self, and finding the courage to move on—these are some of the things that the characters in  Hachimitsu to Clover  experience as they take part in the play staged by fate.","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Apr 15, 2005 to Sep 27, 2005",24.0,186696,578,436.0,8.11,https://cdn.myanimelist.net/images/anime/11/73923.jpg,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
8129,Kuragehime,"Ever since her late mother took her to an aquarium when she was young, Tsukimi Kurashita has been obsessed with jellyfish, comparing their flowing tentacles to a princess's white dress. Now living with five other unemployed otaku women, 19-year-old Tsukimi spends her days as a social outcast dreaming of becoming an illustrator. 
 
However, her life changes forever when one day, a beautiful woman unexpectedly helps her save a jellyfish in a local pet store. From then on, the stranger—confident, fashionable, and the complete opposite of Tsukimi and her roommates—begins to regularly visit the girls' building. This trendy hipster, though appearing shallow at first, harbors some secrets of her own, starting with the fact that ""she"" isn't really a girl at all, but a wealthy male college student named Kuranosuke Koibuchi! 
 
[Written by MAL Rewrite]","['Slice of Life', 'Comedy', 'Josei']","Oct 15, 2010 to Dec 31, 2010",11.0,156751,706,340.0,8.18,https://cdn.myanimelist.net/images/anime/3/24865.jpg,https://myanimelist.net/anime/8129/Kuragehime
4477,Nodame Cantabile: Paris-hen,"Shinichi Chiaki conquers his fear of flying, and Megumi ""Nodame"" Noda's exceptional performance at a piano competition earns her an invitation to study at the prestigious Conservatoire de Paris. The pair go to Paris together to take the next step in their careers: Chiaki as a new rising conductor under the wing of the great maestro Franz von Stresemann, and Nodame as a pupil of the esteemed piano professor Charles Auclair. 
 
But, of course, the music world is much bigger than the two of them could have ever imagined. Chiaki and Nodame, alongside old friends and new rivals, must fight and persevere to reach the dazzling musical heights that await them while never losing sight of what matters most. 
 
[Written by MAL Rewrite] 
","['Comedy', 'Josei', 'Music', 'Romance', 'Slice of Life']","Oct 10, 2008 to Dec 19, 2008",11.0,96961,1129,329.0,8.19,https://cdn.myanimelist.net/images/anime/4/11918.jpg,https://myanimelist.net/anime/4477/Nodame_Cantabile__Paris-hen
10800,Chihayafuru,"Chihaya Ayase, a strong-willed and tomboyish girl, grows up under the shadow of her older sister. With no dreams of her own, she is contented with her share in life till she meets Arata Wataya. The quiet transfer student in her elementary class introduces her to competitive karuta, a physically and mentally demanding card game inspired by the classic Japanese anthology of Hundred Poets. Captivated by Arata's passion for the game and inspired by the possibility of becoming the best in Japan, Chihaya quickly falls in love with the world of karuta. Along with the prodigy Arata and her haughty but hard-working friend Taichi Mashima, she joins the local Shiranami Society. The trio spends their idyllic childhood days playing together, until circumstances split them up. 
 
Now in high school, Chihaya has grown into a karuta freak. She aims to establish the Municipal Mizusawa High Competitive Karuta Club, setting her sights on the national championship at Omi Jingu. Reunited with the now indifferent Taichi, Chihaya's dream of establishing a karuta team is only one step away from becoming true: she must bring together members with a passion for the game that matches her own. 
 
[Written by MAL Rewrite]","['Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports']","Oct 5, 2011 to Mar 28, 2012",25.0,273680,363,261.0,8.27,https://cdn.myanimelist.net/images/anime/3/35749.jpg,https://myanimelist.net/anime/10800/Chihayafuru
5690,Nodame Cantabile: Finale,"Shinichi Chiaki is quickly making a name for himself as the principal conductor of the revitalized Roux-Marlet Orchestra, and Megumi ""Nodame"" Noda has made leaps and bounds as a pianist at the Conservatoire de Paris. However, tensions mount between the two as Nodame feels left behind by Chiaki's growing success and his close friendship with legendary piano prodigy Rui Son. Disregarding her teacher Professor Charles Auclair's advice, Nodame enters another piano competition in an attempt to jumpstart her own performance career.  
 
Meanwhile, those around Chiaki and Nodame are at their own crossroads. Rui begins to doubt herself after hearing Nodame's playing and being denied tutelage from Auclair; Maestro Franz von Stresemann faces the reality of his mortality; pianists Yunlong Li and Tatiana Vishneva feverishly prepare for a competition, while the latter also struggles with her growing feelings for oboist and fellow student Yasunori Kuroki.  
 
As Chiaki, Nodame, and their friends continue on their respective journeys, they must not only strive to stay true to themselves, but also remember where it all started. 
 
[Written by MAL Rewrite]","['Comedy', 'Josei', 'Music', 'Romance']","Jan 15, 2010 to Mar 26, 2010",11.0,97932,1118,225.0,8.31,https://cdn.myanimelist.net/images/anime/4/20712.jpg,https://myanimelist.net/anime/5690/Nodame_Cantabile__Finale
1698,Nodame Cantabile,"Shinichi Chiaki is a first class musician whose dream is to play among the elites in Europe. Coming from a distinguished family, he is an infamous perfectionist—not only is he highly critical of himself, but of others as well. The only thing stopping Shinichi from leaving for Europe is his fear of flying. As a result, he's grounded in Japan. 
 
During his fourth year at Japan's top music university, Shinichi happens to meet Megumi Noda or, as she refers to herself, Nodame. On the surface, she seems to be an unkempt girl with no direction in life. However, when Shinichi hears Nodame play the piano for the first time, he is in awe of the kind of music she creates. Nevertheless, Shinichi is dismayed to discover that Nodame is his neighbor, and worse, she ends up falling head over heels in love with him. 
 
[Written by MAL Rewrite]","['Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Josei']","Jan 12, 2007 to Jun 15, 2007",23.0,230322,453,177.0,8.37,https://cdn.myanimelist.net/images/anime/9/11986.jpg,https://myanimelist.net/anime/1698/Nodame_Cantabile
