uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
552,Digimon Adventure,"When a group of kids head out for summer camp, they don't expect it to snow in the middle of July. Out of nowhere, the kids receive strange devices which transport them to a very different world to begin their  Digimon Adventure ! Led by the plucky Taichi Yagami, the seven children must now survive in a realm far from home, filled with monsters and devoid of other humans. 
 
Luckily, they're not alone: each child is paired off with a companion digital monster called a Digimon. Together, the children and their new friends must overcome their insecurities, discover their inner strengths, and evolve into stronger fighters - literally. 
 
A force of evil is spreading through the Digital World, corrupting all the Digimon. The DigiDestined have arrived and it’s up to them to save the Digital World, if they ever want to see their home world again.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Mar 7, 1999 to Mar 26, 2000",54.0,274830,356,783.0,7.86,https://cdn.myanimelist.net/images/anime/10/11070.jpg,https://myanimelist.net/anime/552/Digimon_Adventure
6586,Yume-iro Pâtissière,"Aside from her deep passion for eating cakes, the clumsy Ichigo Amano has never been successful at anything.  After an encounter with Henri Lucas, a famous patissier, Ichigo's amazing tasting abilities—although unbeknownst to her—are discovered.  Recognizing her talent, Henri offers her the chance to attend St. Marie Academy, a prestigious culinary school which specializes in desserts. 
 
In spite of the fact that she is a beginner lacking skills, thanks to Henri's recommendation, Ichigo is placed in the topmost group with the ""Sweets Princes."" The princes, famous throughout the school for their magical treats, are Sennosuke Andou, an expert in traditional Japanese sweets; Satsuki Hanabusa, with a flair for candied flowers; and Makoto Kashino, a gifted chocolatier. Ichigo and the Sweets Princes, each accompanied by their ""Sweets Spirits""—fairies who make patissiers' dreams come true—all work towards their goals in the competitive world of sweets. 
 
[Written by MAL Rewrite]","['Kids', 'School', 'Shoujo']","Oct 4, 2009 to Sep 26, 2010",50.0,53217,1819,607.0,7.99,https://cdn.myanimelist.net/images/anime/12/21674.jpg,https://myanimelist.net/anime/6586/Yume-iro_P%C3%A2tissi%C3%A8re
23983,Fuichin-san,Based on Ueda Toshiko's shoujo manga.,"['Drama', 'Historical', 'Kids', 'Shoujo']","Mar 20, 2004",1.0,334,11929,558.0,8.01,https://cdn.myanimelist.net/images/anime/11/62189.jpg,https://myanimelist.net/anime/23983/Fuichin-san
9204,Omae Umasou da na,"A Tyrannosaurus called Heart was raised by a herbivorous dinosaur. As he grew up, he was scared by other dinosaurs. One day, Heart meets a baby Ankylosaurus and he names the baby ""Umasou (looks delicious)"". Umasou started to be attached to Heart and a strange family love develops between the two.","['Action', 'Adventure', 'Fantasy', 'Kids']","Oct 16, 2010",1.0,11330,4127,502.0,8.06,https://cdn.myanimelist.net/images/anime/11/27167.jpg,https://myanimelist.net/anime/9204/Omae_Umasou_da_na
2150,Tanoshii Muumin Ikka,"Spring has finally arrived in Moomin Valley, giving way to another great adventure for Moomintroll and the rest of its inhabitants. With Snufkin coming home from his winter migration, the locals of the valley finally begin to rise from their hibernation. Finding a mysterious hat, the Moomins cannot bring themselves to throw it away due to its fine quality, instead hoping to eventually find its owner.  
 
While playing games with his friends, Moomin tries to hide in the silk hat. When his friends come looking for him, they are shocked to discover that Moomin has transformed into a hideous creature. Examining himself in the mirror, he is disgusted to find himself completely unrecognizable. 
 
Transforming back to normal after scaring his friends and family, Moomin and Snufkin decide to toss the hat in the river. As it drifts away, they begin to wonder who the hat belonged to and whether its owner will return for their lost possession. 
 
[Written by MAL Rewrite]","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Slice of Life']","Apr 12, 1990 to Oct 3, 1991",78.0,14065,3768,450.0,8.1,https://cdn.myanimelist.net/images/anime/13/26765.jpg,https://myanimelist.net/anime/2150/Tanoshii_Muumin_Ikka
21469,Stand By Me Doraemon,"Nobita Nobi is an elementary student who hates studying, is bad at sports, and does everything half-heartedly. He is a pushover, unlucky, and fearful of many things. His personality makes him a failure in life, even affecting his progeny. This causes his great-great-grandchild, Sewashi, to take control of the situation. 
 
Sewashi travels back in time from the 22nd century to the 20th century to meet Nobita, who is shocked to see him appear out of his drawer alongside a blue robotic cat. The robotic cat calls himself Doraemon, who claims to have been pressured by Sewashi to assist Nobita, with their ultimate goal being to provide Nobita happiness. Frustrated after seeing Nobita's hopeless state, Doraemon decides to go back to the future. However, Sewashi activates a program within Doraemon that prevents him from doing so.  
 
Forced to stay, Doraemon helps Nobita using futuristic gadgets through his four-dimensional pocket—a bag containing anything inside it. Can Doraemon bring Nobita happiness and return to the future? 
 
[Written by MAL Rewrite]","['Comedy', 'Kids', 'Sci-Fi', 'Shounen']","Aug 8, 2014",1.0,16228,3565,439.0,8.11,https://cdn.myanimelist.net/images/anime/9/65571.jpg,https://myanimelist.net/anime/21469/Stand_By_Me_Doraemon
26117,Kokoroya,"An educational film about empathy in Japan. In the movie's example, uses a sci-fi twist to show how the hearts of others to the main character in certain situations.","['Kids', 'Psychological', 'Sci-Fi']",2014,1.0,366,11749,394.0,8.15,https://cdn.myanimelist.net/images/anime/2/65991.jpg,https://myanimelist.net/anime/26117/Kokoroya
17603,Mr. Pen Pen,"Pen-Pen, the hat-and-tie-wearing prince of Penguin Land, turns up unexpectedly on little Mika's doorstep. and invites himself and his zany friends to stay. 
 
Based on the manga by Muroyama Mayumi, serialised in Shougaku Ninensei. 
 
(Source: AniDB)","['Comedy', 'Kids', 'Shoujo']","Mar 31, 1986",1.0,366,11813,317.0,8.2,https://cdn.myanimelist.net/images/anime/12/47235.jpg,https://myanimelist.net/anime/17603/Mr_Pen_Pen
17605,Mr. Pen Pen II,Sequel of Mr. Pen Pen.,"['Comedy', 'Kids', 'Shoujo']","Dec 29, 1986",1.0,306,12198,298.0,8.24,https://cdn.myanimelist.net/images/anime/13/47025.jpg,https://myanimelist.net/anime/17605/Mr_Pen_Pen_II
9175,Tsuruhime Ja!,"No synopsis has been added for this series yet. 
 
 Click here  to update this information.","['Kids', 'Slice of Life', 'Comedy', 'Shoujo']","Jan 9, 1990 to Dec 25, 1990",49.0,354,11782,270.0,8.27,https://cdn.myanimelist.net/images/anime/8/72389.jpg,https://myanimelist.net/anime/9175/Tsuruhime_Ja
36259,Pingu in the City,"Pingu and his family move from their small village to the big city; in which there are many people with many different occupations. The ever-curious Pingu tries to join them at their jobs, but his mischievous side gets the better of him and he ends up messing things up. 
 
(Source: ANN)","['Comedy', 'Kids', 'Slice of Life']","Oct 7, 2017 to Mar 31, 2018",26.0,33945,2395,132.0,8.44,https://cdn.myanimelist.net/images/anime/1140/95174.jpg,https://myanimelist.net/anime/36259/Pingu_in_the_City
20159,Pokemon: The Origin,"Pokémon are marvelous creatures that come in a variety of types and sizes, with abilities, powers, and personalities as diverse as they are numerous. Doctor Yukinari Ookido has dedicated his life to studying these fascinating beings, that can be caught, trained, traded, and battled against each other. There's only so much he can do from his lab though. With this in mind, Ookido entrusts two young boys with a Pokémon of their own and a computerized encyclopedia to catalog them. One of them, Green, is brash, passionate, slightly arrogant, and Doctor Ookido's own nephew. The other boy, Red, is equally passionate, and filled with a wide-eyed, mildly naive sense of wonder. 
 
 Pokémon: The Origin  follows Red in his journey through the region of Kanto in his attempt to complete his ""Pokédex"" by capturing and cataloging all the Pokémon that exist. Along the way he'll discover there's more to himself and his goals than he originally thought. Red will have to put both himself and his Pokémon to the test in special Gyms whose leaders are steps along the way to the Pokémon League, in order to challenge the Elite Four and become a Pokémon League Champion. 
 
Aside from his goals to become a Champion, Red has other problems brewing. There are others who capture and train Pokémon for more sinister reasons, with the infamous criminal organization Team Rocket being one of them. If Red can defeat them, fellow trainers, his rival Green, and wild Pokémon all through Kanto, he just may fulfill his own dream, and Doctor Ookido's as well.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Kids']","Oct 2, 2013",4.0,148257,748,847.0,7.84,https://cdn.myanimelist.net/images/anime/7/53701.jpg,https://myanimelist.net/anime/20159/Pokemon__The_Origin
2828,Ie Naki Ko,"Remi is a boy living happily with his mother in the French countryside. But everything changes when his estranged father comes home and, in desperate need of money, reveals that Remi is adopted, and sells him. Heartbroken, Remi ends up with Vitalis, a traveling musician, and his troupe of animal entertainers. Together, they travel the country in search for Remi's real parents, along the way learning the harsh lessons of life. A deeply moving story about friendship, loss and the pursuit of happiness.  
 
(Source: AniDB)","['Adventure', 'Drama', 'Historical', 'Kids', 'Slice of Life']","Oct 2, 1977 to Oct 1, 1978",51.0,8468,4649,839.0,7.84,https://cdn.myanimelist.net/images/anime/9/76757.jpg,https://myanimelist.net/anime/2828/Ie_Naki_Ko
38262,Pingu in the City (2018),,"['Slice of Life', 'Comedy', 'Kids']","Oct 6, 2018 to Mar 30, 2019",26.0,7507,4883,882.0,7.82,https://cdn.myanimelist.net/images/anime/1315/95173.jpg,https://myanimelist.net/anime/38262/Pingu_in_the_City_2018
6024,Chi's Sweet Home: Atarashii Ouchi,"The Yamadas and Chi move to a new apartment house, where keeping a pet is allowed.","['Comedy', 'Kids', 'Slice of Life']","Mar 30, 2009 to Sep 24, 2009",104.0,22094,3037,873.0,7.82,https://cdn.myanimelist.net/images/anime/9/14095.jpg,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Jealous of Suneo's new robot toy, Nobita asks Doraemon to build him an even better one. Doraemon initially refuses, until Nobita accidentally discovers pieces of a mysterious robot that falls from the sky. After gathering all the robot parts and assembled them together, the giant robot, Zanda Claus, is soon completed. The duo soon learn that the robot is not a mere toy, but a powerful weapon in the fight against the coming Robot Army that is going to attack Earth and enslave the human inhabitants of it. An invasion is near, as a mysterious girl Riruru (リルル, Alternative spelling: Lilulu, Lillele [Doko Demo Doa Scanlations]) shows up, looking for the robot. 
 
(Source: Wikipedia)","['Adventure', 'Comedy', 'Kids', 'Fantasy', 'Mecha', 'Shounen']","Mar 5, 2011",1.0,3426,6685,976.0,7.77,https://cdn.myanimelist.net/images/anime/7/72436.jpg,https://myanimelist.net/anime/10534/Doraemon_Movie_31__Shin_Nobita_to_Tetsujin_Heidan_-_Habatake_Tenshi-tachi
12917,Madang-eul Naon Amtalg,A Korean animation about a hen named Leafie who lives and works on an egg farm who dreams of freedom outside her cage. One day she fakes her own death to escape the farm.,"['Adventure', 'Kids', 'Drama', 'Fantasy']","Jul 28, 2011",1.0,2784,7167,960.0,7.78,https://cdn.myanimelist.net/images/anime/1640/90459.jpg,https://myanimelist.net/anime/12917/Madang-eul_Naon_Amtalg
2397,Digimon Adventure: Bokura no War Game!,"This movie takes place after the Adventure series ends. It begins when a new Digimon Egg is found on the internet, and manages to penetrate into almost every computer system in Japan. When the egg hatches, it's identified as a new kind of Digimon, a Virus-type. It sustains itself by eating data from various system, and starts wreaking havok in Japan. As it consumes more and more data, it continues to evolve. And Taichi and Koushiro decide it's time to stop it. 
 
They're off, sending Agumon and Tentomon through the internet to fight off this new enemy. But, with the Virus controlling systems like the American military, all too soon, this digital menace may become all too real. Calling in the help of Yamato and Takeru, they hope that they can stop what's already begun, and maybe save this world a second time. 
 
(Source: AniDB)","['Sci-Fi', 'Adventure', 'Comedy', 'Kids']","Mar 4, 2000",1.0,54400,1788,909.0,7.8,https://cdn.myanimelist.net/images/anime/12/72451.jpg,https://myanimelist.net/anime/2397/Digimon_Adventure__Bokura_no_War_Game
35777,Rilakkuma to Kaoru-san,"Her life might be a little mundane, but Kaoru gets to go home to Rilakkuma, her endearingly lazy roommate who happens to be a fuzzy toy bear. 
 
(Source: Netflix)",['Kids'],"Apr 19, 2019",13.0,5245,5700,1052.0,7.74,https://cdn.myanimelist.net/images/anime/1582/100702.jpg,https://myanimelist.net/anime/35777/Rilakkuma_to_Kaoru-san
2313,Muumindani no Suisei,"Unusual things have been happening in Moominvalley. Moomin, Sniff and Mee leave for the Observatory on the Lonely Mountains to confirm the Muskrat's words: a comet is about to hit Moominvalley and destroy everything. On the way they meet Snufkin, the Hemulen and the Snorks and experience many adventures.  
 
(Source: ANN)","['Adventure', 'Comedy', 'Fantasy', 'Kids']","Aug 8, 1992",1.0,6593,5141,1045.0,7.74,https://cdn.myanimelist.net/images/anime/12/3984.jpg,https://myanimelist.net/anime/2313/Muumindani_no_Suisei
2471,Doraemon (1979),"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. 
 
To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? 
 
[Written by MAL Rewrite]","['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Sci-Fi', 'Shounen']","Apr 2, 1979 to Mar 18, 2005",1787.0,26513,2750,1036.0,7.74,https://cdn.myanimelist.net/images/anime/3/3953.jpg,https://myanimelist.net/anime/2471/Doraemon_1979
31592,Pokemon XY&Z,"The journey of Satoshi and his friends through the Kalos region continues! After Satoshi obtains his seventh gym badge, the group is moving toward the next town when Eureka discovers a mysterious Pokemon resting in her pochette. Soon given the name Puni-chan, it is one that even Satoshi and Serena's new Pokemon Zukan cannot identify. However, it quickly becomes apparent that Puni-chan is the target of a mysterious group clad in bright red suits known as Team Flare, aiming to capture the new Pokemon to further their agenda. But when Satoshi and the gang realize that the enigmatic organization has no intention of treating Puni-chan with any decency, they take a stand in opposition to Team Flare's plans, daring to fight back. 
 
With Gojika's predictions looming above them, Satoshi aims for his final gym badge while Serena contests for her last Princess Key in order to be able to compete at the TriPokalon Master Class. But as Team Flare begins to move in search of the mysterious Z, the stories of  Pokemon XY  and  Pokemon XY: Mega Evolution  cross paths as Satoshi and his friends, along with Team Rocket, get caught up in a scheme that could put Kalos in great danger. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']","Oct 29, 2015 to Oct 27, 2016",47.0,49461,1922,1019.0,7.75,https://cdn.myanimelist.net/images/anime/1599/94412.jpg,https://myanimelist.net/anime/31592/Pokemon_XY_Z
6731,Ultraman Kids no Kotowaza Monogatari,Educational anime based on the popular Ultraman giant fighters.,"['Comedy', 'Kids', 'Super Power']","Apr 16, 1986 to Nov 19, 1986",26.0,437,11289,7775.0,6.15,https://cdn.myanimelist.net/images/anime/12/30417.jpg,https://myanimelist.net/anime/6731/Ultraman_Kids_no_Kotowaza_Monogatari
31750,TV-ban Pokemon Special Masara Town-hen Recaps,"A summary compilation of the Kanto season of  Pocket Monsters . 
 
(Source: AniDB)","['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']","Sep 29, 2000",2.0,1629,8436,7773.0,6.15,https://cdn.myanimelist.net/images/anime/12/76468.jpg,https://myanimelist.net/anime/31750/TV-ban_Pokemon_Special_Masara_Town-hen_Recaps
15865,Tamagotchi! Yume Kira Dream,"Mametchi and his friends return to study abroad at Dream Town, a place that supports the dreams of all who live there. At Dream Town, Mametchi meets the aspiring idol singer Yumemitchi, Kiraritchi and other new characters as they all follow their own dreams.  
 
(Source: ANN) ","['Comedy', 'Kids']","Sep 10, 2012 to Aug 29, 2013",49.0,400,11508,7771.0,6.15,https://cdn.myanimelist.net/images/anime/13/42957.jpg,https://myanimelist.net/anime/15865/Tamagotchi_Yume_Kira_Dream
3576,Kodai Ouja Kyouryuu King,"Dr. Taylor was on a paleontology mission with his son, Max in Africa. Rex, Max's best friend, joins along as well. When Max had stumbled across some magic stone slabs with images of dinosaurs, the boys and their friend Zoe were being called out by the dinosaurs for help. It seems that an evil organization called the ""Alpha Gang,"" led by the nefarious Dr. Z, traveled back in time to hunt down the dinosaurs so that they could take over the world by using those dinosaurs. It is up to Max, Rex, and their friend Zoe to travel around the world, defeating Dr. Z and the Alpha Gang while hunting down the dinosaurs. 
 
(Source: Wikipedia)","['Adventure', 'Kids', 'Fantasy']","Feb 4, 2007 to Jan 27, 2008",49.0,10306,4283,7799.0,6.14,https://cdn.myanimelist.net/images/anime/10/75397.jpg,https://myanimelist.net/anime/3576/Kodai_Ouja_Kyouryuu_King
17983,Kero Kero Keroppi no Christmas Eve no Okurimono,A star who tries to act like an adult falls from the sky. Keroppi helps nurse it back to health and regain its confidence to shine once again.,"['Fantasy', 'Kids']","Nov 1, 1992",1.0,257,12605,7842.0,6.13,https://cdn.myanimelist.net/images/anime/2/47855.jpg,https://myanimelist.net/anime/17983/Kero_Kero_Keroppi_no_Christmas_Eve_no_Okurimono
25029,"Little Polar Bear: Shirokuma-kun, Fune ni Noru",A continuation of adventures of the Little Polar Bear.,"['Adventure', 'Fantasy', 'Kids']","Dec 1, 1991",1.0,314,12055,7848.0,6.13,https://cdn.myanimelist.net/images/anime/3/64089.jpg,https://myanimelist.net/anime/25029/Little_Polar_Bear__Shirokuma-kun_Fune_ni_Noru
34840,Kitsune Tsuki,"In the evening of a village festival, a young boy named Bunroku goes to the festival with his friend and visits a clog shop on the way. There he learns an old superstition about the fox. 
 
(Source: haff.nl)","['Kids', 'Drama']",2015,1.0,324,11956,7846.0,6.13,https://cdn.myanimelist.net/images/anime/6/84082.jpg,https://myanimelist.net/anime/34840/Kitsune_Tsuki
23975,Fukuyama Gekijou: Natsu no Himitsu,"Several short animated mini-stories based on the short stories and four-panel manga of Keiko Fukuyama, including My Father the Mouse, The Rabbit Brothers, Summer Secret, The Mysterious Fairy, How Very Strange, and Kuro.  
 
(Source: Anime Encyclopedia)","['Music', 'Kids', 'Fantasy']","Sep 27, 1990",1.0,237,12827,7834.0,6.13,https://cdn.myanimelist.net/images/anime/5/62173.jpg,https://myanimelist.net/anime/23975/Fukuyama_Gekijou__Natsu_no_Himitsu
12589,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,Tama and Friends movie. ,"['Adventure', 'Kids']","Aug 14, 1993",1.0,463,11177,7822.0,6.13,https://cdn.myanimelist.net/images/anime/7/35279.jpg,https://myanimelist.net/anime/12589/3_Choume_no_Tama__Onegai_Momo-chan_wo_Sagashite
24603,Xiongmao Monogatari TaoTao,"TaoTao is an anime series about the eponymous Taotao, a small panda. In the stories, Taotao has adventures with his animal friends and listens to the stories of his mother, the mommy panda. 
 
(Source: AniDB)","['Fantasy', 'Comedy', 'Kids']","Dec 28, 1981",1.0,239,12822,7820.0,6.14,https://cdn.myanimelist.net/images/anime/3/63351.jpg,https://myanimelist.net/anime/24603/Xiongmao_Monogatari_TaoTao
35128,Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren,"The Ham-Hams practice safety! Hamtaro and the Ham-Hams learn what to do if there's an earthquake or a fire in this 13-minute long video produced by the Tokyo Emergency Service. 
 
(Source: Hamatarou Wikia)","['Drama', 'Kids']",2003,1.0,335,11886,7816.0,6.14,https://cdn.myanimelist.net/images/anime/2/84724.jpg,https://myanimelist.net/anime/35128/Tottoko_Hamtarou_no_Tottoko_Daijida_Bousai_Kunren
