uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
4672,Koukaku Kidoutai 2.0,"Mamoru Oshii's first Ghost in the Shell cyberspace film will return to five Japanese theaters in an enhanced Ghost in the Shell 2.0 edition on July 12. The new edition will include new computer graphics and digital effects for some scenes and a reunion of most of the cast members for a new 6.1 surround sound recording. Academy-Award-winning sound mixer/editor Randy Thom (Ghost in the Shell 2: Innocence, The Incredibles, The Right Stuff) has overseen the new soundtrack with Kenji Kawai's original music and a final mix that has been produced at Thom and Lucas Digital's Skywalker Sound studio in California. 
 
In the new edition, the enigmatic Puppet Master character will be played by Yoshiko Sakakibara (Ghost in the Shell 2: Innocence's Harraway, Ghost in the Shell: Stand Alone Complex's Prime Minister Yoko Kayabuki). Iemasa Kayumi (Giant Robo's Chief Chuujou Shizuo, RahXephon's Ernst Von Bähbem) played the role in the original edition. 
 
The film will screen in Tokyo, Osaka, Nagoya, Fukuoka, and Sapporo. Not coincidentally, Oshii's latest film, The Sky Crawlers, will open one month after Ghost in the Shell 2.0 on August 2.  
 
(Source: ANN)","['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']","Jul 12, 2008",1.0,72331,1457,500.0,8.06,https://cdn.myanimelist.net/images/anime/3/75608.jpg,https://myanimelist.net/anime/4672/Koukaku_Kidoutai_20
468,Koukaku Kidoutai 2: Innocence,"With Major Motoko Kusanagi missing, Section 9's Batou is assigned to investigate a string of gruesome murders—seemingly at the hands of faulty gynoids, or sex robots. But when a faulty gynoid leaves Batou a cryptic message, he begins to question the cause of their malfunctions. Suspicions of politically motivated murder and an illegal ""ghost"" quickly crop up, drawing Batou and his partner Togusa into a perilous web of conspiracy. 
 
As their investigation goes on, the line between man and machine continues to blur, and reality and perception become indistinguishable. Confronting strange and dangerous foes, Batou and Togusa explore a futuristic world filled with machines and living dolls but utterly devoid of humanity. 
 
[Written by MAL Rewrite]","['Military', 'Sci-Fi', 'Police', 'Psychological', 'Mecha']","Mar 6, 2004",1.0,121133,929,767.0,7.87,https://cdn.myanimelist.net/images/anime/10/75628.jpg,https://myanimelist.net/anime/468/Koukaku_Kidoutai_2__Innocence
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"On the surface, Koudo Ikusei Senior High School is a utopia. The students enjoy an unparalleled amount of freedom, and it is ranked highly in Japan. However, the reality is less than ideal. Four classes, A through D, are ranked in order of merit, and only the top classes receive favorable treatment. 
 
Kiyotaka Ayanokouji is a student of Class D, where the school dumps its worst. There he meets the unsociable Suzune Horikita, who believes she was placed in Class D by mistake and desires to climb all the way to Class A, and the seemingly amicable class idol Kikyou Kushida, whose aim is to make as many friends as possible. 
 
While class membership is permanent, class rankings are not; students in lower ranked classes can rise in rankings if they score better than those in the top ones. Additionally, in Class D, there are no bars on what methods can be used to get ahead. In this cutthroat school, can they prevail against the odds and reach the top? 
 
[Written by MAL Rewrite]","['Slice of Life', 'Psychological', 'Drama', 'School']","Jul 12, 2017 to Sep 27, 2017",12.0,344479,279,705.0,7.91,https://cdn.myanimelist.net/images/anime/5/86830.jpg,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV
22319,Tokyo Ghoul,"Tokyo has become a cruel and merciless city—a place where vicious creatures called “ghouls” exist alongside humans. The citizens of this once great metropolis live in constant fear of these bloodthirsty savages and their thirst for human flesh. However, the greatest threat these ghouls pose is their dangerous ability to masquerade as humans and blend in with society. 
 
Based on the best-selling supernatural horror manga by Sui Ishida,  Tokyo Ghoul  follows Ken Kaneki, a shy, bookish college student, who is instantly drawn to Rize Kamishiro, an avid reader like himself. However, Rize is not exactly who she seems, and this unfortunate meeting pushes Kaneki into the dark depths of the ghouls' inhuman world. In a twist of fate, Kaneki is saved by the enigmatic waitress Touka Kirishima, and thus begins his new, secret life as a half-ghoul/half-human who must find a way to integrate into both societies. 
 
[Written by MAL Rewrite]","['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']","Jul 4, 2014 to Sep 19, 2014",12.0,1346036,6,674.0,7.93,https://cdn.myanimelist.net/images/anime/5/64449.jpg,https://myanimelist.net/anime/22319/Tokyo_Ghoul
790,Ergo Proxy,"Within the domed city of Romdo lies one of the last human civilizations on Earth. Thousands of years ago, a global ecological catastrophe doomed the planet; now, life outside these domes is virtually impossible. To expedite mankind's recovery, ""AutoReivs,"" humanoid-like robots, have been created to assist people in their day-to-day lives. However, AutoReivs have begun contracting an enigmatic disease called the ""Cogito Virus"" which grants them self-awareness. Re-l Mayer, granddaughter of Romdo's ruler, is assigned to investigate this phenomenon alongside her AutoReiv partner Iggy. But what begins as a routine investigation quickly spirals into a conspiracy as Re-l is confronted by humanity's darkest sins. 
 
Elsewhere in Romdo, an AutoReiv specialist by the name of Vincent Law must also face his demons when surreal events begin occurring around him. Re-l, Iggy, Vincent, and the child AutoReiv named Pino, will form an unlikely faction as they struggle to uncover Romdo's mysteries and ultimately, discover the true purpose of the mythical beings called ""Proxies."" 
 
[Written by MAL Rewrite]","['Psychological', 'Mystery', 'Sci-Fi']","Feb 25, 2006 to Aug 12, 2006",23.0,406663,201,633.0,7.96,https://cdn.myanimelist.net/images/anime/11/6259.jpg,https://myanimelist.net/anime/790/Ergo_Proxy
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,"While mahjong is a game that is often played with family and friends, it is also a game that is played in the darkest corners of society. Nangou is a compulsive gambler who has accumulated debt over three million yen. In a last ditch attempt to clear his record, he decides to wager his life on a game of mahjong with the mafia. Unfortunately, as the game progresses, Nangou only moves further from the prize and closer to death. 
 
When all hope seems lost, the game parlor is suddenly intruded upon by Shigeru Akagi, a young boy on the run from the police. Desperate to turn the game around, Nangou hands the game over to Akagi after teaching him a few of the rules. The mafia can only smirk as Akagi sits down to play. However, they soon come to learn that Akagi is a natural-born gambler. An imposing figure who does not fear death. One who is destined to become a legend. 
 
[Written by MAL Rewrite]","['Game', 'Psychological', 'Thriller', 'Seinen']","Oct 5, 2005 to Mar 29, 2006",26.0,71420,1473,629.0,7.97,https://cdn.myanimelist.net/images/anime/11/53587.jpg,https://myanimelist.net/anime/658/Touhai_Densetsu_Akagi__Yami_ni_Maiorita_Tensai
793,xxxHOLiC Movie: Manatsu no Yoru no Yume,"Summer break has arrived, but while his other classmates are out having fun, Kimihiro Watanuki continues to work as compensation for the eccentric Yuuko in her shop. With the spirits and supernatural phenomena that bother him lessening, he pays his dues by cleaning, cooking, and doing whatever else the apparently lazy Yuuko needs. 
 
Watanuki, however, gets involved in a new predicament when Yuuko receives a mysterious invitation to a mansion whose owner seeks Yuuko's wish-granting ability. When he, Yuuko, and his classmate Shizuka Doumeki make their way to the peculiar residence, they meet others who were summoned by the same strange invitation. All of them are collectors of various unique items, drawn there by the chance to expand their collections. But as the collectors begin to disappear one by one, Watanuki and his companions must solve the mystery and put the case to rest, or find themselves in risk of danger. 
 
[Written by MAL Rewrite]","['Mystery', 'Comedy', 'Psychological', 'Supernatural', 'Drama']","Aug 20, 2005",1.0,51666,1856,591.0,8.0,https://cdn.myanimelist.net/images/anime/5/25078.jpg,https://myanimelist.net/anime/793/xxxHOLiC_Movie__Manatsu_no_Yoru_no_Yume
387,Haibane Renmei,"Born from a cocoon in the village of Old Home, a young Haibane—a being with a halo and small gray wings—awakens to a world she does not understand without memories of her past. Named Rakka for the dream of falling she had while inside the cocoon, she soon becomes accustomed to life in the strange town. However, there are strict rules for the Haibane, such as being forbidden to leave the village or go near the walls surrounding it. These, along with mysterious disappearances of their kind on their ""Day of Flight,"" begin to unsettle Rakka and the others since they know almost nothing about their own kind. 
  
 Haibane Renmei  tells not only Rakka's story but also of those around her, as they live their lives with no memories of the past while trying to break free from their former pain and ultimately find salvation. 
  
[Written by MAL Rewrite]","['Slice of Life', 'Mystery', 'Psychological', 'Drama', 'Fantasy']","Oct 10, 2002 to Dec 19, 2002",13.0,180467,599,581.0,8.0,https://cdn.myanimelist.net/images/anime/9/13134.jpg,https://myanimelist.net/anime/387/Haibane_Renmei
1594,Jigoku Shoujo Futakomori,"Ai Enma and her companions continue to offer their service of revenge against those who have wronged others, and the price is as steep as ever—for damning the offender to hell, the person exacting vengeance is sent to the abyss as well. As they cast soul after soul into the darkness, a new sinister force is watching them: a little girl named Kikuri. 
 
While Ai continues her duties, she meets a boy named Takuma Kurebayashi, known as the ""Devil's Child"" because of the horrific events that occur around him. Unfortunately, Takuma's reputation leads the townspeople to use him as a scapegoat for those who have been ferried off to hell. When things quickly spiral out of control, Ai must find a way to bring an end to this senseless violence, as it poses a threat to her very existence. 
 
[Written by MAL Rewrite]","['Mystery', 'Horror', 'Psychological', 'Supernatural']","Oct 7, 2006 to Apr 7, 2007",26.0,116187,970,582.0,8.0,https://cdn.myanimelist.net/images/anime/5/86975.jpg,https://myanimelist.net/anime/1594/Jigoku_Shoujo_Futakomori
10721,Mawaru Penguindrum,"For the Takakura family, destiny is an ever-spinning wheel, pointing passionately in their direction with equal tides of joy and sorrow before ticking on to the next wishmaker. With their parents gone, twin brothers Kanba and Shouma live alone with their beloved little sister Himari, whose poor health cannot decline any further. 
 
On the day Himari is given permission to temporarily leave the hospital, her brothers take her out to the aquarium to celebrate, where the family's supposed fate is brought forth with her sudden collapse. However, when Himari is inexplicably revived by a penguin hat from the aquarium's souvenir shop, the hand of fate continues to tick faithfully forward. 
 
With her miraculous recovery, though, comes a cost: there is a new entity within her body, whose condition for keeping her fate at bay sends the boys on a wild goose chase for the mysterious ""Penguin Drum."" In their search, the boys will have to follow the threads of fate leading from their own shocking past and into the lives of other wishmakers vying for the Penguin Drum, all hoping to land upon their chosen destiny. 
 
[Written by MAL Rewrite]","['Mystery', 'Comedy', 'Dementia', 'Psychological', 'Drama']","Jul 8, 2011 to Dec 23, 2011",24.0,221240,482,566.0,8.01,https://cdn.myanimelist.net/images/anime/5/30238.jpg,https://myanimelist.net/anime/10721/Mawaru_Penguindrum
