uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
36214,Asagao to Kase-san.,"Yui Yamada, a timid girl who enjoys tending to her school's greenery, falls in love with the boyish and athletic Tomoka Kase. The two eventually begin dating, and the story follows the pair as they face various challenges in their relationship. 
 
(Source: Wikipedia)","['Romance', 'School', 'Shoujo Ai']","Jun 9, 2018",1.0,33444,2426,779.0,7.86,https://cdn.myanimelist.net/images/anime/1578/94205.jpg,https://myanimelist.net/anime/36214/Asagao_to_Kase-san
3750,Maria-sama ga Miteru 4th,"Yumi and the Yamayuri Council have found two new helpers in Kanako and Toko. Unfortunately, their assistance comes with tension, as neither girl is particularly fond of the other and both seem likely candidates to be Yumi's petite soeur. Will either be a good fit for Yumi? As the school year marches on, the work for the Yamayuri Council piles up, and pressure begins to mount for Yumi to make her final decision. 
 
(Source: RightStuf)","['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']","Jan 3, 2009 to Mar 28, 2009",13.0,15994,3569,749.0,7.88,https://cdn.myanimelist.net/images/anime/4/75206.jpg,https://myanimelist.net/anime/3750/Maria-sama_ga_Miteru_4th
12403,Yuru Yuri♪♪,"The girls of the Amusement Club return in  Yuru Yuri♪♪ , finding new ways to make passing time even more enjoyable. Their members consist of the always energetic Kyouko Toshinou; calm and sensible Yui Funami; polite but often overlooked Akari Akaza; and Chinatsu Yoshikawa, who stumbled upon the others while looking for the Tea Ceremony Club. Together they are the Amusement Club, which has the deceptively simple task of keeping its members entertained. 
 
Along with the Student Council and the odd family member, they strive to enjoy their youth to the fullest. Whether it's a trip to a hot spring or finishing overdue homework, their lives are never dull, and they will always find an excuse to spend time together. 
 
[Written by MAL Rewrite]","['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']","Jul 3, 2012 to Sep 18, 2012",12.0,130757,859,722.0,7.9,https://cdn.myanimelist.net/images/anime/8/75174.jpg,https://myanimelist.net/anime/12403/Yuru_Yuri%E2%99%AA%E2%99%AA
1729,Maria-sama ga Miteru 3rd,"Summer has arrived, and the students of Lillian Girls' Academy are on break! Yumi and Sachiko head out to the Ogasawara family's summer home, but what was supposed to be a relaxing vacation takes a turn for the worse when some of Sachiko's old acquaintances drop by for tea. These rich and snobby debutantes don't think Yumi is worthy of Sachiko's affection and they're out to make this summer one she'll regret. 
 
(Source: RightStuf)","['Drama', 'School', 'Shoujo Ai', 'Slice of Life']","Dec 29, 2006 to Jul 25, 2007",5.0,16501,3506,685.0,7.92,https://cdn.myanimelist.net/images/anime/6/75209.jpg,https://myanimelist.net/anime/1729/Maria-sama_ga_Miteru_3rd
23225,Yuru Yuri Nachuyachumi!,"Even during summer break, the Amusement Club lives up to its name! When Akari Akaza, Kyouko Toshinou, Chinatsu Yoshikawa, and Yui Funami find a camping tent, they decide to put it to good use by spending the weekend outside in the mountains. When some student council members catch wind of this, they are invited to come along as well. 
 
After a very long journey, the group arrives at their destination and is ready to make the most of their trip. They engage in classic camping activities, such as outdoor cooking and tests of courage, and finish it all off with a visit to the hot springs. An extravagant trip like this doesn't happen every day, but the Amusement Club is sure to savor each moment. 
 
[Written by MAL Rewrite]","['Comedy', 'Shoujo Ai', 'Slice of Life']","Feb 18, 2015",1.0,51557,1863,677.0,7.93,https://cdn.myanimelist.net/images/anime/2/73281.jpg,https://myanimelist.net/anime/23225/Yuru_Yuri_Nachuyachumi
30279,Yuru Yuri San☆Hai!,Third season of  Yuru Yuri .,"['Comedy', 'School', 'Shoujo Ai', 'Slice of Life']","Oct 6, 2015 to Dec 22, 2015",12.0,83403,1310,576.0,8.01,https://cdn.myanimelist.net/images/anime/7/76667.jpg,https://myanimelist.net/anime/30279/Yuru_Yuri_San%E2%98%86Hai
37786,Yagate Kimi ni Naru,"Yuu Koito has always been entranced with romantic shoujo manga and the lyrics of love songs. She patiently waits for the wings of love to sprout and send her heart aflutter on the day that she finally receives a confession. Yet, when her classmate from junior high declares his love for her during their graduation, she feels unexpectedly hollow. The realization hits her: she understands romance as a concept, but she is incapable of experiencing the feeling first-hand. 
  
Now, having enrolled in high school, Yuu, disconcerted and dispirited, is still ruminating over how to respond to her suitor. There, she happens upon the seemingly flawless student council president, Touko Nanami, maturely rejecting a confession of her own. Stirred by Touko's elegant manner, Yuu approaches her for advice, only to be bewildered when the president confesses to her! Yuu quickly finds herself in the palm of Touko's hand, and unknowingly sets herself on a path to find the emotion which has long eluded her. 
 
[Written by MAL Rewrite]","['Romance', 'School', 'Shoujo Ai']","Oct 5, 2018 to Dec 28, 2018",13.0,126027,900,575.0,8.01,https://cdn.myanimelist.net/images/anime/1783/96153.jpg,https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru
795,Oniisama e...,"When 16-year-old Nanako Misonoo enters the prestigious all-girls Seiran Academy, she believes a bright future awaits her. Instead, the unlucky girl finds herself dragged into a web of deceit, misery, and jealousy. On top of that, she is chosen as the newest inductee of the Sorority, an elite group whose members are the envy of the entire school. Having none of the grace, wealth, or talent of the other members, Nanako quickly draws the ire of her jealous classmates—especially the fierce Aya Misaki. 
 
To cope with her increasingly difficult school life, Nanako recalls her days through letters to her former teacher, Takehiko Henmi, whom she affectionately calls ""onii-sama"" (big brother). She also finds comfort with her four closest friends: her childhood friend Tomoko Arikura, the sociable but erratic Mariko Shinobu, the troubled musician Rei Asaka, and the athletic tomboy Kaoru Orihara. 
 
An impassioned drama about the hardships of bullying,  Oniisama e...  chronicles a young girl's harsh life at her new school, as she endures cruel rumours, heartless classmates, and countless social trials. 
 
[Written by MAL Rewrite]","['Psychological', 'Drama', 'School', 'Shoujo', 'Shoujo Ai']","Jul 14, 1991 to May 31, 1992",39.0,21997,3045,864.0,7.83,https://cdn.myanimelist.net/images/anime/12/18531.jpg,https://myanimelist.net/anime/795/Oniisama_e
30902,Yuru Yuri Nachuyachumi!+,Extra episodes of  Yuru Yuri Nachuyachumi!,"['Slice of Life', 'Comedy', 'Shoujo Ai']","Aug 21, 2015 to Sep 18, 2015",2.0,38033,2263,852.0,7.84,https://cdn.myanimelist.net/images/anime/2/75992.jpg,https://myanimelist.net/anime/30902/Yuru_Yuri_Nachuyachumi_
37773,"Yuru Yuri,",,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']","Sep 18, 2019",1.0,13788,3824,1062.0,7.74,https://cdn.myanimelist.net/images/anime/1138/99547.jpg,https://myanimelist.net/anime/37773/Yuru_Yuri
444,Maria-sama ga Miteru: Haru,"The spring term is beginning for the students at Lillian Girls' Academy. Friends are reunited, but for the Yamayuri Council, it's a bittersweet time. Yoko, Eriko, and Sei are busy preparing to depart Lillian while Sachiko, Rei, and Shimako are doing their best to ensure that their dear sisters receive a memorable commencement. 
 
Sei's departure will leave a sizable hole in the White Roses, and filling it won't be easy. But is there anyone who could appeal to Shimako enough to become the next Rosa Gigantea en bouton? 
 
(Source: RightStuf)","['Drama', 'Romance', 'School', 'Shoujo', 'Shoujo Ai']","Jul 4, 2004 to Sep 26, 2004",13.0,20099,3191,1014.0,7.75,https://cdn.myanimelist.net/images/anime/9/75208.jpg,https://myanimelist.net/anime/444/Maria-sama_ga_Miteru__Haru
