uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
7645,Heartcatch Precure!,"2nd year middle school student Tsubomi Hanasaki has just moved with her family to the town of Kibougahana to live with her grandma. She is shy and introverted, but is determined to start off her new school life at Myoudou Academy as confidently as possible. 
 
Lately she has been having the same mysterious dream again and again, of Cure Moonlight's defeat at the Great Heart Tree. She wonders what it all means. Then suddenly, two fairies from the dream appear to her, and before she knows it, she is transformed into the legendary Pretty Cure, Cure Blossom! 
 
Later joined by her high energy classmate and new friend Erika Kurumi as Cure Marine, the two girls vow work hard to protect everyone's Heart Flowers from the evil gang, The Desert Messengers. ","['Action', 'Slice of Life', 'Fantasy', 'Magic', 'Comedy', 'School', 'Shoujo']","Feb 7, 2010 to Jan 30, 2011",49.0,20414,3162,763.0,7.87,https://cdn.myanimelist.net/images/anime/2/25915.jpg,https://myanimelist.net/anime/7645/Heartcatch_Precure
1571,Ghost Hunt,"While at school, Taniyama Mai and her friends like to exchange ghost stories. Apparently, there is an abandoned school building on their campus that is the center of many ghost stories. During the story, they are interrupted by a mysterious male figure. The person turns out to be Shibuya Kazuya, a 17-year-old who is president of the Shibuya Psychic Research Company. He was called by the principal to investigate the stories surrounding the abandoned school building. 
 
The next day, on the way to school, Mai passes the school building in question. While examining a strange camera she spotted inside, she gets surprised by Kazuya's assistant. Unknowingly interfering with the investigation, Mai breaks the camera and Kazuya's assistant gets injured. 
 
Kazuya forcefully hires Mai in order to pay for the camera and replace his injured assistant. From that point on, Mai begins to learn about the paranormal world and the profession of ghost hunting. 
 
[Written by MAL Rewrite]","['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']","Oct 4, 2006 to Mar 28, 2007",25.0,172769,630,760.0,7.87,https://cdn.myanimelist.net/images/anime/11/73908.jpg,https://myanimelist.net/anime/1571/Ghost_Hunt
35222,Gakuen Babysitters,"After losing both parents in a fatal plane crash, teenager Ryuuichi Kashima must adjust to his new life as the guardian of his younger brother Kotarou. Although Ryuuichi is able to maintain a friendly and kindhearted demeanor, Kotarou is a reserved toddler still too young to understand the reality of the situation. At their parents' funeral, they are approached by Youko Morinomiya, the stern chairman of an elite academy, who decides to take them under her care. 
  
However, there is one condition Ryuuichi must fulfill in exchange for a roof over their heads and enrolment in the school—he must become the school's babysitter. In an effort to support the female teachers at the academy, a babysitter's club was established to look after their infant children; unfortunately, the club is severely short-staffed, so now not only is Ryuuichi responsible for his little brother, but also a handful of toddlers who possess dynamic personalities. 
 
[Written by MAL Rewrite]","['Comedy', 'School', 'Shoujo', 'Slice of Life']","Jan 7, 2018 to Mar 25, 2018",12.0,94090,1171,759.0,7.87,https://cdn.myanimelist.net/images/anime/8/89978.jpg,https://myanimelist.net/anime/35222/Gakuen_Babysitters
30123,Akagami no Shirayuki-hime,"Although her name means ""snow white,"" Shirayuki is a cheerful, red-haired girl living in the country of Tanbarun who works diligently as an apothecary at her herbal shop. Her life changes drastically when she is noticed by the silly prince of Tanbarun, Prince Raji, who then tries to force her to become his concubine. Unwilling to give up her freedom, Shirayuki cuts her long red hair and escapes into the forest, where she is rescued from Raji by Zen Wistalia, the second prince of a neighboring country, and his two aides. Hoping to repay her debt to the trio someday, Shirayuki sets her sights on pursuing a career as the court herbalist in Zen's country, Clarines. 
 
 Akagami no Shirayuki-hime  depicts Shirayuki's journey toward a new life at the royal palace of Clarines, as well as Zen's endeavor to become a prince worthy of his title. As loyal friendships are forged and deadly enemies formed, Shirayuki and Zen slowly learn to support each other as they walk their own paths. 
 
[Written by MAL Rewrite]","['Fantasy', 'Romance', 'Drama', 'Shoujo']","Jul 7, 2015 to Sep 22, 2015",12.0,336418,289,756.0,7.87,https://cdn.myanimelist.net/images/anime/10/75764.jpg,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime
3750,Maria-sama ga Miteru 4th,"Yumi and the Yamayuri Council have found two new helpers in Kanako and Toko. Unfortunately, their assistance comes with tension, as neither girl is particularly fond of the other and both seem likely candidates to be Yumi's petite soeur. Will either be a good fit for Yumi? As the school year marches on, the work for the Yamayuri Council piles up, and pressure begins to mount for Yumi to make her final decision. 
 
(Source: RightStuf)","['School', 'Shoujo', 'Shoujo Ai', 'Slice of Life']","Jan 3, 2009 to Mar 28, 2009",13.0,15994,3569,749.0,7.88,https://cdn.myanimelist.net/images/anime/4/75206.jpg,https://myanimelist.net/anime/3750/Maria-sama_ga_Miteru_4th
4080,Kyou kara Maou! 3rd Series,"At the end of season 2. Yuuri defeats Shinou, but since Shinou had been defeated, Yuuri and Murata could no longer go to the Shin Makoku. However, because Yuuri had fought and defeated him, his powers had surpassed that of Shinou's, resulting in him being able to rely on his own power to return to Shin Makoku. 
 
After the ceremony at the age of 16, Yuuri slowly begins to discover that much has happened while he was away. The ten officials of the noble family have decided to make Wolfram the next Maou, but now that Yuuri has returned and taken back his role as Maou, complications arise when one noble disagrees with Yuuri returning to the throne. 
 
In addition, an ancient secret society that threatens the peace of both humans and Mazoku has risen, and a fight for the throne that now leaves the nobles wondering who is the legitimate Maou. ","['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']","Apr 3, 2008 to Feb 19, 2009",39.0,25570,2804,733.0,7.89,https://cdn.myanimelist.net/images/anime/7/22639.jpg,https://myanimelist.net/anime/4080/Kyou_kara_Maou_3rd_Series
532,Bishoujo Senshi Sailor Moon S,"The Sailor Guardians and their leader, Sailor Moon, continue their duty of protecting Earth from any who would dare cause it harm. However, Sailor Mars' apocalyptic visions and the appearance of two new guardians—Sailor Neptune and Sailor Uranus—signal that a new battle will soon begin. 
  
These newcomers seek three Talismans that are inside the Pure Heart Crystals within human beings. Once brought together, these objects form The Holy Grail, a magical relic with extraordinary abilities. They want to use the Grail to save the world, but an evil organization known as the Death Busters seeks its power for their own desires. 
 
The removal of a Talisman from a person's Heart Crystal will cause their death, something that Uranus and Neptune see as a necessary sacrifice to form the Grail, while Sailor Moon and her group deem it unforgivable. But can any sacrifice be worth the cost if it saves the lives of the entire human race? 
 
[Written by MAL Rewrite] 
","['Drama', 'Magic', 'Romance', 'Shoujo']","Mar 19, 1994 to Feb 25, 1995",38.0,93615,1163,691.0,7.91,https://cdn.myanimelist.net/images/anime/1077/92346.jpg,https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S
1485,Akachan to Boku,"Takuya Enoki is living a difficult life for a fifth grader. His mother passed away in a tragic car accident a few months ago, forcing him to pick up the slack and take care of his baby brother, Minoru, as his father works the endless hours typical of a Japanese salaryman. 
 
He will have to sacrifice his childhood in order to meet the needs of his little brother. Cooking, cleaning, worrying, and trying to discipline Minoru are some of the tasks Takuya will have on his plate, all while their neighbors blame him for Minoru’s constant crying. Meanwhile, he will watch as his friends live their carefree lives, enjoying their free time. It will not be easy and there will be plenty of stumbling blocks, but along the way, he may actually learn the true meaning of family.","['Comedy', 'Drama', 'Shoujo']","Jul 11, 1996 to Mar 26, 1997",35.0,14014,3772,662.0,7.93,https://cdn.myanimelist.net/images/anime/2/49693.jpg,https://myanimelist.net/anime/1485/Akachan_to_Boku
2143,Saiyuuki Reload: Burial,"Taking place in the past it offers a view at the Saiyuuki quartet before their formation and their journey to the west. First OVA starts with Sanzo and his master, also with Ukoku (known as a later Ni Jianyi). Second OVA shows first meeting of Goku and Sanzo. Third OVA considers the events after Hakkai's sins and his trial (that we know from first season of ""Saiyuuki"") and his decision to live in Gojyo's house.","['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']","Apr 28, 2007 to Mar 28, 2008",3.0,10169,4309,659.0,7.94,https://cdn.myanimelist.net/images/anime/1890/94055.jpg,https://myanimelist.net/anime/2143/Saiyuuki_Reload__Burial
1695,Les Misérables: Shoujo Cosette,"In 19th century France, a struggling single mother, Fantine, leaves her three-year-old daughter Cosette in the care of her new acquaintances, the Thernadiers. Unfortunately, Cosette's caretakers prove to be anything but loving, and the poor girl is subjected to repeated abuse and forced servitude. Still, she endures the torment in the hopes of seeing her mother once again. 
 
One night, while doing errands for her host family, Cosette is assisted by an honorable stranger named Jean Valjean. After a brief conversation with the young girl, Jean acknowledges her as the type of person he has been seeking and rescues her from the clutches of the Thernadiers. They make their way to a nearby town where Cosette enjoys a new life thanks to her savior. 
 
Under Jean's guidance, Cosette promises to help others with her newfound freedom. She pledges to heal the nation, ensuring that no one else suffers her fate. Though the road ahead is paved with tragedies left by the French Revolution, this idealistic girl will not rest until France is freed from poverty and suffering. 
 
[Written by MAL Rewrite]","['Slice of Life', 'Historical', 'Drama', 'Shoujo']","Jan 7, 2007 to Dec 30, 2007",52.0,16991,3462,655.0,7.94,https://cdn.myanimelist.net/images/anime/1/1695.jpg,https://myanimelist.net/anime/1695/Les_Mis%C3%A9rables__Shoujo_Cosette
