uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
3092,Junjou Romantica,"Misaki Takahashi is a regular high school student who is preparing for his university entrance exams. In order to reduce the stress of studying, or so he hopes, he accepts the help of his older brother's best friend, and famous author, Akihiko Usami. However, Masaki is about to find out that Usami's books are of a very naughty genre, and that there may be something naughty waking up inside Masaki as well. 
 
 Junjou Romantica  also follows the story of two other couples loosely connected to Masaki and Usami's ""Romantica."" 
 
Egoist shows the very passionate, but often complicated, relationship between university professor Hiroki Kamijou (whose life has reached an all time low) and paediatrician Nowaki Kusama, who falls for Hiroki at first sight and would do anything to make him happy. 
 
The third story, ""Terrorist,"" shows just how obsessive love can become when rich eighteen-year-old Shinobu Takatsuki finally discovers something that he cannot have so easily—the literature professor You Miyagi. 
 
There is passion abound as these three couples try to achieve their goals in life while also falling into temptation and anguish with their partners. ","['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Apr 11, 2008 to Jun 27, 2008",12.0,169037,647,745.0,7.88,https://cdn.myanimelist.net/images/anime/7/8811.jpg,https://myanimelist.net/anime/3092/Junjou_Romantica
11135,Hybrid Child,"The skilled craftsman Kuroda created artificial humans called Hybrid Child—creatures who are neither machines nor dolls, but rather a reflection of the love shown to them. While they can feel human emotions and have their own consciousness, they are not real humans and require love to grow. 
 
Kotarou Izumi is the young heir to the noble Izumi family, so it is frowned upon when he brings an abandoned Hybrid Child he found in the garbage into their household. His family even attempts to throw away Hazuki—Kotarou's name for the Hybrid Child—multiple times when he is not paying attention. But through overcoming these obstacles, their love and the bond connecting them grow stronger. However, ten years pass before a horrifying realization dawns on them: a Hybrid Child might not have an endless life span. 
 
 Hybrid Child  is a collection of three short love stories, depicting the relationship between the artificial humans and their owners. 
 
[Written by MAL Rewrite]","['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']","Oct 29, 2014 to Jan 28, 2015",4.0,48435,1942,730.0,7.89,https://cdn.myanimelist.net/images/anime/4/65605.jpg,https://myanimelist.net/anime/11135/Hybrid_Child
38250,Xiao Lu He Xiao Lan,"""I've been holding a few words back for a long time — I like you!"" 
""Beryl and Sapphire"" is a popular manhua created by artist Ocarina. Here includes protagonists with the most random names in history  — the mild-mannered Beryl (Green) and the easily-embarrassed Sapphire (Blue). At times the closest of friends, at others the worst of enemies… In this donghua where each episode is set in a different world, how would they encounter each other time and again?? Only angst? Too painful! Nothing but fluff? Too sugary! Come watch B&S, the show where you'll never guess the ending… 
 
(Source: Guodong Subs)","['Game', 'Sci-Fi', 'Slice of Life', 'Comedy', 'Drama', 'Magic', 'School', 'Shounen Ai']","Aug 27, 2018 to Feb 16, 2019",72.0,2148,7834,637.0,7.96,https://cdn.myanimelist.net/images/anime/1670/93590.jpg,https://myanimelist.net/anime/38250/Xiao_Lu_He_Xiao_Lan
9926,Sekaiichi Hatsukoi,"After having to deal with jealousy from his co-workers for working under his father's name, prideful literary editor Ritsu Onodera is determined to establish himself in the industry. To accomplish this, he quits his job at his father's publishing company and transfers to Marukawa Publishing. But instead of being placed in their literary division, Ritsu finds himself working as the rookie manga editor for the Emerald editing department, a team that operates under extremely tight schedules in order to meet deadlines. There, Ritsu is introduced to the infamous editor-in-chief Masamune Takano, a persistent man who strives for results. 
 
As it turns out, Takano is actually Ritsu's high school love, and it is the aftermath of that heartbreak has caused Ritsu's reluctance to fall in love again. Now with the two reunited after several years of separation, the reestablishment of their relationship is marked by Takano's vow to make Ritsu say that he loves him again. 
 
 Sekaiichi Hatsukoi  follows three couples that are interconnected within the manga industry, with each being subject to the budding of first love.  
 
[Written by MAL Rewrite]","['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Apr 9, 2011 to Jun 25, 2011",12.0,143425,775,626.0,7.97,https://cdn.myanimelist.net/images/anime/6/29763.jpg,https://myanimelist.net/anime/9926/Sekaiichi_Hatsukoi
13767,Junjou Romantica OVA,OVAs that come with the limited premium edition of volumes 16 and 20 of the manga series.,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Dec 20, 2012 to Dec 1, 2015",2.0,36264,2306,623.0,7.97,https://cdn.myanimelist.net/images/anime/6/60389.jpg,https://myanimelist.net/anime/13767/Junjou_Romantica_OVA
25649,Junjou Romantica 3,"After living together for three years, Misaki Takahashi and Akihiko ""Usagi"" Usami's relationship has been progressing smoothly. However, all great relationships have problems, and theirs is just beginning. With a new rival on the horizon, Usagi worries about Misaki's feelings towards him.  
 
Meanwhile, Ryuuichirou Isaka has always loved to intrude on Misaki and Usagi's love life, but his own love life hasn't been all smooth sailing—Isaka and his secretary Kaoru Asahina have been dating for a few years; however, Asahina prefers to keep their professional and private lives separate, often leading to troubled waters between them. 
 
As for Nowaki Kusama and Hiroki Kamijou, now that their careers are finally taking off, they hardly see each other anymore. With the time they spend together lessening, doubts and insecurities threaten to creep in between them. On the other hand, the 17-year age gap between Shinobu Takatsuki and You Miyagi has been a constant barrier in their relationship, but as they learn more about each other, their self-consciousness continues to fade. 
 
The beloved couples of Junjou Romantica, Junjou Egoist, and Junjou Terrorist are back again, this time with a new addition: Junjou Mistake! 
 
[Written by MAL Rewrite]","['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Jul 9, 2015 to Sep 24, 2015",12.0,72135,1470,610.0,7.98,https://cdn.myanimelist.net/images/anime/2/74170.jpg,https://myanimelist.net/anime/25649/Junjou_Romantica_3
20815,Sekaiichi Hatsukoi: Valentine-hen,"Animated short with an original story that was screened alongside ""Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai.""","['Romance', 'Comedy', 'Shounen Ai']","Mar 15, 2014",1.0,25044,2854,572.0,8.01,https://cdn.myanimelist.net/images/anime/5/55723.jpg,https://myanimelist.net/anime/20815/Sekaiichi_Hatsukoi__Valentine-hen
4814,Junjou Romantica 2,The second part of  Junjou Romantica  continuing the story.,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Oct 12, 2008 to Dec 28, 2008",12.0,124152,903,512.0,8.05,https://cdn.myanimelist.net/images/anime/6/38417.jpg,https://myanimelist.net/anime/4814/Junjou_Romantica_2
8063,Sekaiichi Hatsukoi OVA,"Two OVA episodes featuring additional stories.  
 
Episode 0: Ritsu and Takano used to date back in high school, but broke up due to a misunderstanding. This is that story.  
 
Episode 12.5: Hatori and Chiaki go to visit the latter's family. It's really awkward in many, many ways. ","['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Mar 22, 2011 to Sep 27, 2011",2.0,50754,1876,486.0,8.07,https://cdn.myanimelist.net/images/anime/11/35863.jpg,https://myanimelist.net/anime/8063/Sekaiichi_Hatsukoi_OVA
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Movie adaptation of the Sekaiichi Hatsukoi: Yokozawa Takafumi no Baai BL light novel.,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Mar 15, 2014",1.0,40885,2167,477.0,8.08,https://cdn.myanimelist.net/images/anime/11/65927.jpg,https://myanimelist.net/anime/20371/Sekaiichi_Hatsukoi_Movie__Yokozawa_Takafumi_no_Baai
11123,Sekaiichi Hatsukoi 2,Second season of Sekaiichi Hatsukoi.,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']","Oct 8, 2011 to Dec 24, 2011",12.0,105160,1058,408.0,8.14,https://cdn.myanimelist.net/images/anime/8/34871.jpg,https://myanimelist.net/anime/11123/Sekaiichi_Hatsukoi_2
39533,Given,"Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji. 
     
Satou's voice is strikingly beautiful, filling Uenoyama with the determination to make Satou the lead singer of the band. Though reticent at first, Satou takes the offer after an emotional meeting with an old friend. With the support of his new friends, Satou must not only learn how to play guitar, but also come to terms with the mysterious circumstances that led him to be its owner. 
 
[Written by MAL Rewrite]","['Drama', 'Music', 'Romance', 'Shounen Ai', 'Slice of Life']","Jul 12, 2019 to Sep 20, 2019",11.0,81107,1373,302.0,8.23,https://cdn.myanimelist.net/images/anime/1666/102238.jpg,https://myanimelist.net/anime/39533/Given
30346,Doukyuusei (Movie),"Rihito Sajou is an honor student who got perfect scores in every subject on his high school entrance exam. Hikaru Kusakabe plays guitar in his band that performs at live events and is popular among the girls. These boys would have never crossed paths. But one day Hikaru offers to help Rihito prepare for their upcoming chorus festival and the two begin to talk. As the two meet after school, they feel one another's sound, listen to each other's voice, and begin to harmonize as their hearts beat together. 
 
It starts out slow but soon their feelings for one another grow and in just one moment they both realize that it is love. Hikaru's emotions are frivolous, pure, and direct causing Rihito to hesitate at first, but he gradually opens his heart. The boys are learning about each other as they also learn about themselves and support one another during this difficult time typical to youth. As the time to start thinking about their futures approaches, what do these young men find as they try to move forward... 
 
(Source: Aniplex USA)","['Slice of Life', 'Romance', 'School', 'Shounen Ai']","Feb 20, 2016",1.0,97504,1137,192.0,8.35,https://cdn.myanimelist.net/images/anime/3/78606.jpg,https://myanimelist.net/anime/30346/Doukyuusei_Movie
18729,Marginal Prince: Gekkeiju no Ouji-tachi - Tokyo Merry-Go-Round,"Keita and the other Marginal Prince are away from St. Alphonso Academy and meet each other in the city, where they meet Keita's sister. 
 
Extra episode released with the 7th DVD volume.","['Romance', 'School', 'Shounen Ai']","Jul 19, 2007",1.0,1496,8648,8120.0,6.07,https://cdn.myanimelist.net/images/anime/13/50039.jpg,https://myanimelist.net/anime/18729/Marginal_Prince__Gekkeiju_no_Ouji-tachi_-_Tokyo_Merry-Go-Round
22591,Patalliro Saiyuuki! Special,Unaired episode 27 of Patalliro Saiyuuki! that was included in the 5th DVD volume.,"['Adventure', 'Comedy', 'Fantasy', 'Shoujo', 'Shounen Ai']","Jan 25, 2006",1.0,494,11060,8082.0,6.08,https://cdn.myanimelist.net/images/anime/4/58917.jpg,https://myanimelist.net/anime/22591/Patalliro_Saiyuuki_Special
37616,Ten Count,"Corporate secretary Shirotani suffers from obsessive-compulsive disorder. One day he meets Kurose, a therapist who offers to take him through a ten-step program to cure him of his compulsion. As the two go through each of the ten steps, Shirotani 's attraction to his counselor grows.  
 
(Source: SuBLime)","['Drama', 'Romance', 'Shounen Ai']",2020 to ?,,11022,4212,,,https://cdn.myanimelist.net/images/anime/1464/99977.jpg,https://myanimelist.net/anime/37616/Ten_Count
40646,Yes ka No ka Hanbun ka,"Kunieda Kei is a popular, young TV announcer whose public and private personas are so different, they might be called extreme. On the outside, he is the picture of perfection, affectionately nicknamed ""The Prince,"" while on the inside he is constantly cursing at all of the incompetence around him. Of course, no one knows this secret of his. 
 
One day, Kei meets animation artist Tsuzuki Ushio for a work assignment. While Kei is in ""inside mode,"" he later runs into Tsuzuki, who doesn't recognize him in his worn-out sweats and a facemask, but as compensation for injuring Tsuzuki's arm, Kei gets roped into helping out with his work. 
 
(Source: Novel Updates, edited)","['Drama', 'Shounen Ai']",Not available,,1104,9770,,,https://cdn.myanimelist.net/images/anime/1530/103927.jpg,https://myanimelist.net/anime/40646/Yes_ka_No_ka_Hanbun_ka
33295,Xian Yue Meng Ying,"An OVA currently in production, planned to be released on DVD in China. On August 28, 2010, a promotional video was released advertising the project. In April 2015, the script was announced as complete, and the early stages of animation had begun.","['Action', 'Shounen Ai', 'Supernatural']",Not available,1.0,1743,8280,,,https://cdn.myanimelist.net/images/anime/11/80015.jpg,https://myanimelist.net/anime/33295/Xian_Yue_Meng_Ying
40615,Umibe no Étranger,"""There's nothing wrong with liking another guy."" 
To be in the arms of the person I love... I thought that was an unattainable dream... 
 
On an island off the coast of Okinawa, two young men meet on a beach. Shun Hashimoto is gay and aspires to be a novelist. He is interested in Mio Chibana, a somber high school student, and starts to flirt with him. Day by day, the two of them grow closer, but then, suddenly, Mio decides to leave the island. 
 
Three years later, Mio returns and approaches Shun with the words, ""I've thought about it for the past three years. I like you, Shun, even if you're a guy."" However, when faced with the prospect of finally becoming lovers with Mio, Shun cannot take the first step towards commitment. This is a tantalizing love story about a gay novelist and a younger part-time worker.  
 
(Source: Renta!, edited)","['Slice of Life', 'Romance', 'Shounen Ai']",2020,1.0,1955,8434,,,https://cdn.myanimelist.net/images/anime/1156/103666.jpg,https://myanimelist.net/anime/40615/Umibe_no_%C3%89tranger
