uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
36369,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"The Free Planets Alliance's invasion of the Galactic Empire has failed after supply mismanagement led to heavy losses. Unwilling to abort the expedition despite being greatly outnumbered, Fleet Admiral Lazar Lobos orders the remaining Alliance fleets to gather in the Amritsar Starzone for a final stand against the incoming counterattack. 
 
Strategic genius Fleet Admiral Reinhard von Lohengramm leads the Imperial forces into this decisive battle with an overwhelming advantage. However, his rival, tactical magician Vice Admiral Yang Wen-li of the Alliance, once again makes up for the incompetence of his superiors and stages a narrow escape for himself and his fellow soldiers. Though both Reinhard and Yang are displeased with the outcome—the former for his imperfect victory and the latter for the tremendous casualties—their attention must turn to the bubbling political unrest on both sides of the galaxy. 
 
[Written by MAL Rewrite]","['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Sep 27, 2019",4.0,11817,4041,787.0,7.86,https://cdn.myanimelist.net/images/anime/1772/102667.jpg,https://myanimelist.net/anime/36369/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Seiran_1
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"Three years since the return of the legendary Space Battleship Yamato, Earth has begun rebuilding itself and has made peace with the Gamilans. However, this recovery comes at the cost of utilizing the forbidden Wave Motion technology.  
 
Meanwhile, the notorious former crew members of the Yamato, who have each gone their separate ways, receive a psychic message from the mysterious Goddess Teresa. She urges them to return to their beloved ship and travel to the distant planet Terezart. They are promised a revolutionary power to combat the unprecedented threat of the relentless Gatlantis Empire, who are approaching Earth with all but innocent intentions. 
 
Unable to resist her plea, the crew reassembles and sets sail on another perilous intergalactic voyage, one that will test their sheer courage and versatility in the face of an even greater foe. 
 
[Written by MAL Rewrite] 
","['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']","Feb 25, 2017 to Mar 1, 2019",26.0,14326,3747,776.0,7.87,https://cdn.myanimelist.net/images/anime/7/84463.jpg,https://myanimelist.net/anime/33064/Uchuu_Senkan_Yamato_2202__Ai_no_Senshi-tachi
1491,Ginga Tetsudou 999,"In the distant future, humanity has found a way to live forever by purchasing mechanical bodies, but this way to immortality is extraordinarily expensive. An impoverished boy, Tetsurou Hoshino, desires to purchase a pass on the Galaxy Express 999—a train that travels throughout the universe—because it is said that at the end of the line, those aboard can obtain a mechanical body for free. When Tetsurou's mother is gunned down by the villainous machine-man hybrid Count Mecha, however, all seems lost. 
  
Tetsurou is then saved from certain death by the mysterious Maetel, a tall woman with blonde hair and a striking resemblance to his mother. She gives him a pass to the Galaxy Express under one condition: that they travel together. Thus, Tetsurou begins his journey across the universe to many unique planets and thrilling adventures, in hopes of being able to attain that which he most desires. 
 
[Written by MAL Rewrite]","['Sci-Fi', 'Adventure', 'Space', 'Drama']","Sep 14, 1978 to Apr 9, 1981",113.0,21402,3080,761.0,7.87,https://cdn.myanimelist.net/images/anime/7/27801.jpg,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999
20057,Space☆Dandy,"The universe is a mysterious and strange place, full of even stranger and more mysterious aliens. Dandy's job is to hunt down unclassified aliens and register them for a reward. It sounds easy enough, but something weird always seems to happen along the way, like chance meetings with zombies, mystical ramen chefs, and adorable orphans. Hunting down aliens may not be easy, but it's definitely never boring. 
 
With the help of his sidekicks, the adorable robot vacuum QT and cat-like alien Meow, and his slightly-used ship the Aloha Oe, Dandy roams the galaxy searching for new alien species. What he usually finds, however, is adventure, danger, and romance, and no two journeys (or universes) are ever the same. This is  Space☆Dandy , baby!","['Sci-Fi', 'Space', 'Comedy']","Jan 5, 2014 to Mar 27, 2014",13.0,216068,500,737.0,7.89,https://cdn.myanimelist.net/images/anime/4/56611.jpg,https://myanimelist.net/anime/20057/Space%E2%98%86Dandy
397,Seikai no Senki II,"Due to a lack of ambassadors for the recently-conquered worlds the rapidly advancing fleet of the Bebaus brothers leave behind, Lafiel is appointed Territorial Ambassador of the planet Lobnas II. Upon arriving to the planet Jinto and Lafiel discover that the planet was used by the United Mankind as a prison planet and now has a million prisoners on the only inhabited island. The prisoners are parted in three blocks. The western where women are housed, the eastern belongs to the men and the central is mixed under the restriction that all prisoners living there are sterilized. The women in the western sector want to emigrate from the planet of fear for the men and when they do the men in the east rebel, overthrowing the guards and capturing Jinto to try to stop the emigration of the women. At the same time an enemy fleet heads toward the system forcing Lafiel to abandon Jinto. 
 
(Source: ANN)","['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']","Jul 11, 2001 to Sep 26, 2001",10.0,18367,3331,735.0,7.89,https://cdn.myanimelist.net/images/anime/12/61109.jpg,https://myanimelist.net/anime/397/Seikai_no_Senki_II
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,"At the climax of the Eve Wars, on December 24 of the year AC 195, the armies of the World Nation and White Fang met in a ferocious battle. World Nation leader Treize Khushrenada was slain, White Fang leader Zechs Merquise disappeared, and Earth was saved from destruction by the intervention of the five Gundam pilots. Having witnessed the consequences of war and hatred, the people of Earth and the space colonies put aside their differences and together founded a new world government. Under this newly-formed Earth Sphere Unified Nation, a year has passed in peace. The government and the populace have disarmed themselves, and almost every remaining mobile suit has been destroyed. Deciding to follow suit, Gundam pilots Heero Yuy, Duo Maxwell, Trowa Barton, and Quatre Raberba Winner place their mighty mobile suits inside an asteroid and send them on a one-way voyage into the sun. But even as they bid their Gundams farewell, a new conflict is drawing near.  
 
(Source: AniDB)","['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']","Aug 1, 1998",1.0,45629,2014,734.0,7.89,https://cdn.myanimelist.net/images/anime/1/2507.jpg,https://myanimelist.net/anime/2273/Mobile_Suit_Gundam_Wing__Endless_Waltz_Movie
3665,Ginga Eiyuu Densetsu Gaiden (1999),"Ginga Eiyuu Densetsu Gaiden (1999)  is the second of two OVA adaptations of side stories from the  Ginga Eiyuu Densetsu  novel series. This second adaptation follows the achievements of Yang Wen-li of the Free Planets Alliance before the fateful Battle of Astarte, and continues the tales of Reinhard von Müsel and Siegfried Kircheis of the Galactic Empire. 
 
 Spiral Labyrinth 
Yang is propelled to the spotlight after his famous evacuation of civilians from El Facil. Following an unofficial double promotion and a flurry of media attention, he chronicles his research of the Year 730 Mafia—a close-knit group of Alliance military officers centered around the famed tactician Bruce Ashbey. He investigates a startling claim by Ashbey's deceased widow that may have enormous political ramifications: that the great war hero was not killed in action but murdered. 
 
 The Mutineer 
Reinhard and Kircheis are posted on the destroyer Hameln II, docked at Iserlohn Fortress. After gaining the respect of the crew, Reinhard's leadership is tested when the captain is severely wounded and passes command authority to Reinhard, the next-highest ranking officer on deck. 
 
 The Duelist 
While Reinhard and Kircheis are working in the Imperial capital Odin, Reinhard learns of a mining rights dispute involving Dorothea von Schaffhausen, a friend of his sister Annerose von Grünewald. Upon hearing that Count Herxheimer intends to settle the matter with a duel, Reinhard volunteers to represent the Schaffhausen family. 
 
 The Retriever 
After falling out of favor with the nobility, Count Herxheimer is trying to escape to the Free Planets Alliance with a stolen Seffle particle generator prototype. Reinhard is tasked with retrieving both the prototype and the defector, but is only assigned the cruiser Hässliche Entlein due to the confidential nature of the mission. 
 
 The Third Battle of Tiamat 
To commemorate the 30th year of the reign of Kaiser Friedrich IV, the Empire announces a large-scale military campaign against the Free Planets Alliance. In the ensuing clash between the Imperial expeditionary force and three Alliance fleets, Reinhard's timely intervention shapes the tides of war. 
 
[Written by MAL Rewrite]","['Drama', 'Military', 'Sci-Fi', 'Space']","Dec 24, 1999 to Jun 27, 2001",28.0,13321,3845,725.0,7.89,https://cdn.myanimelist.net/images/anime/6/9580.jpg,https://myanimelist.net/anime/3665/Ginga_Eiyuu_Densetsu_Gaiden_1999
82,Mobile Suit Gundam 0080: War in the Pocket,"Alfred Izuruha is a 10-year-old who lives in the neutral colony cluster of Side 6 and, like most boys his age, is obsessed with the war between the Earth Federation and the Principality of Zeon. Unbeknownst to him, Al's next-door neighbor, Christina, is the test pilot of a prototype Gundam being developed in secret by the Earth Federation in the colony. A Zeon Special Forces team is assembled and tasked with infiltrating the colony in order to either steal or destroy it. 
 
When a skirmish breaks out between the Federation and infiltrating Zeon forces, the fascinated Alfred stumbles upon a Zaku mobile suit that has been shot down, piloted by Zeon rookie Bernard ""Bernie"" Wiseman. After this encounter, the two start a mutual friendship, so Alfred can learn more about the war that interests him so much, and Bernie can acquire inside information about the colony to aid his team's mission. 
 
[Written by MAL Rewrite]","['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Mar 25, 1989 to Aug 25, 1989",6.0,36514,2298,719.0,7.9,https://cdn.myanimelist.net/images/anime/1/82.jpg,https://myanimelist.net/anime/82/Mobile_Suit_Gundam_0080__War_in_the_Pocket
569,Musekinin Kanchou Tylor,"Justy Ueki Tylor is an average 20-year-old man: lazy, greedy, and a passionate womanizer. He plans to land an easy job with the United Planets Space Force that pays decently and is also far away from the rigorous combat raging throughout the galaxy. 
 
However, Tylor's dreams of living a simple life are brought to a sudden halt when he stumbles into a dangerous hostage situation. Through one strange mishap after another, Tylor miraculously manages to save the hostages and is awarded command of the decrepit space-cruiser Soyokaze! 
 
Now Tylor finds himself in charge of sending mad mercenaries, proud pilots, skeptical colleagues, and harsh commanders through the infinite expanse of the universe, all the while avoiding the looming threat of the Holy Raalgon Empire. What misadventures await the irresponsible Captain Tylor? 
 
[Written by MAL Rewrite]","['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']","Jan 25, 1993 to Jul 19, 1993",26.0,32091,2462,698.0,7.91,https://cdn.myanimelist.net/images/anime/4/14898.jpg,https://myanimelist.net/anime/569/Musekinin_Kanchou_Tylor
949,Top wo Nerae! Gunbuster,"In the near future, humanity has taken its first steps towards journeying into the far reaches of the galaxy. Upon doing so they discover a huge race of insectoid aliens known as ""Space Monsters."" These aliens seem dedicated to the eradication of mankind as they near closer and closer to discovering Earth. In response, humanity develops giant fighting robots piloted by hand-picked youth from around the world. 
 
Shortly after the discovery of the aliens, Noriko Takaya, the daughter of a famous deceased space captain, enters a training school despite her questionable talents as a pilot. There, she meets her polar opposite, the beautiful and talented Kazumi Amano, and is unexpectedly made to work together with her as they attempt to overcome the trauma of war as well as their own emotions. 
 
[Written by MAL Rewrite]","['Action', 'Comedy', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']","Oct 7, 1988 to Jul 7, 1989",6.0,84962,1283,687.0,7.92,https://cdn.myanimelist.net/images/anime/1303/92309.jpg,https://myanimelist.net/anime/949/Top_wo_Nerae_Gunbuster
