uid,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
7748,Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,"My name is Sawaguchi Mai. I always get myself involved with my classmate, Kawamura Reo. Reo is pretty short and has silky hair... In short, she's cute. But sometimes, she can be really obstinate. I'm trying to do my best to get her to get along with the rest of the class, but since we're both headstrong we always end up fighting. It's so frustrating, especially since she can't do anything without me around! 
 
But whenever I talk to her, Reo always acts like I'm bothering her. I wonder if she hates me... But then, just when I got all depressed Reo came up to me and told me, ""You've got it all wrong! I love you, Mai! I love you so much!"" Her confession completely took me by surprise. Could it be that I'm in love with Reo too?! 
 
(Source: DLsite)","['Hentai', 'School', 'Yuri']","Jul 30, 2010",1.0,37199,2275,,7.33,https://cdn.myanimelist.net/images/anime/5/24845.jpg,https://myanimelist.net/anime/7748/Sono_Hanabira_ni_Kuchizuke_wo__Anata_to_Koibito_Tsunagi
28779,Futa-bu!!,"A relaxing vacation at the Manra Valley onsen is just what the members of the Futabu, or Futanari Club, signed up for. Officially, their goal is to research the harvest festival native to the area for a high school project. Unofficially, they're there to have a little fun, and the springs are an aphrodisiac...","['Hentai', 'School', 'Yuri']","Feb 20, 2015 to May 1, 2015",2.0,11304,4140,,7.28,https://cdn.myanimelist.net/images/anime/7/77908.jpg,https://myanimelist.net/anime/28779/Futa-bu
2432,Discipline,"The story revolves around Takuro Hayami who transferred to the mostly female Saint Arcadia School. Seemingly all of the girls want to have sex with him because the school only recently started admitting male students. Takuro seems like a normal student, but what the girls later realize when they try to take advantage of him is that he has a secret. Takuro has an ""Ultimate Sex Power"" that becomes the focus of St. Arcadia's sexual power struggle.","['Hentai', 'School', 'Yuri']","Apr 11, 2003 to Dec 17, 2004",6.0,23740,2929,,7.01,https://cdn.myanimelist.net/images/anime/9/4536.jpg,https://myanimelist.net/anime/2432/Discipline
3239,Cream Lemon,"A collection of short stories, ranging from soap opera (the Ami series) to fantasy (Rall series) to horror (Cream Lemon Dark) to parody (Pop Chaser). It does deal with a lot of heavy perversions ranging from S&M, male rape (by a bunch of females, that is), bondage, torture, yuri (lesbian love) and incest. 
 
(Source: AniDB)","['Parody', 'Fantasy', 'Comedy', 'Romance', 'Hentai', 'Drama', 'Sci-Fi', 'Yuri']","Aug 10, 1984 to Mar 19, 1993",38.0,5062,5726,,6.39,https://cdn.myanimelist.net/images/anime/10/24804.jpg,https://myanimelist.net/anime/3239/Cream_Lemon
1390,Parade Parade,"Meet Kaori Shiina. She's beautiful. She's talented. She's a pop idol. However, she has a secret, one which would destroy her career if it were ever revealed...","['Hentai', 'Music', 'Yuri']","Apr 26, 1996 to Jul 26, 1996",2.0,2289,7619,,6.05,https://cdn.myanimelist.net/images/anime/5/41639.jpg,https://myanimelist.net/anime/1390/Parade_Parade
6120,Mitama: Nin,"The world has fallen into disorder, it divided into the north and the south and after kakamura has been destroyed both lands now fight over the world.  capitals gave been born, one in the north and one in the south with its respective Emperor. In this age there are people  who live as Shinobi/Ninjas...","['Demons', 'Hentai', 'Martial Arts', 'Yuri']","Feb 25, 2009 to Sep 25, 2009",2.0,2772,7175,,5.9,https://cdn.myanimelist.net/images/anime/8/13391.jpg,https://myanimelist.net/anime/6120/Mitama__Nin
2469,Ogenki Clinic,"Whatever problem a patient may have with sex, the wacky Dr. Okeguri and his sexy nurse, Ruko, are here to help! Using a variety of unconventional methods and an extremely affectionate bedside manner, this team is devoted to bringing pleasure to those in pain and joy to those in despair.  
 
(Source: AniDB)","['Comedy', 'Hentai', 'Yuri']","Jul 20, 1991 to Mar 21, 1992",3.0,1821,8156,,5.96,https://cdn.myanimelist.net/images/anime/6/59729.jpg,https://myanimelist.net/anime/2469/Ogenki_Clinic
2530,G-Taste,"Volume #1: A Taste of Honey (Eps #1-3) 
 
Although she tries hard, lovely office worker Moe bungles her assignments more often than not. She'd fare better if she spent more time working and less time playing with the office equipment, but it wouldn't be near as much fun. Nana's so cute in her maid's outfit that it's easy to see why everyone wants a piece of her. And while domineering Mai is used to being the boss, she's going to discover the joys of humiliation. A taste will only leave you wanting more, so obey your sweet tooth. 
 
Volume #2: Heat Wave (Eps #4-6) 
 
Sayaka is trying to be a prim and proper teacher, but every time she steps in front of a classroom she gets hot... And turning up the air conditioner isn't going bring her temperature down one bit. Misuzu may be a world-class swimmer, but the cold water in the practice pool only heats things up. She's one bathing beauty who doesn't need a sauna to make things steamy. The heat index will soar as these two lovely ladies do their best to set the screen on fire. 
 
(Source: AniDB)","['Hentai', 'Yuri']","Dec 18, 1999 to Apr 24, 2003",7.0,5251,5638,,5.99,https://cdn.myanimelist.net/images/anime/5/61909.jpg,https://myanimelist.net/anime/2530/G-Taste
7264,Onmyouji Ayakashi no Megami: Inran Jubaku,"An evil goddess is trying to gain absolute power via absorbing the life energy of a human using a woman as a succubus. Four minor goddesses try to stop her, the goddess of Tiger, Dragon, Phoenix and Turtle, but their efforts seem useless as two of them fall under control of the evil goddess. The life of the young human is being absorbed so they must hurry to save him. 
","['Hentai', 'Yuri']","Oct 25, 2009 to Apr 16, 2010",2.0,3724,6461,,6.0,https://cdn.myanimelist.net/images/anime/2/29388.jpg,https://myanimelist.net/anime/7264/Onmyouji_Ayakashi_no_Megami__Inran_Jubaku
10920,Seikon no Qwaser II Picture Drama,BD Specials.,"['Ecchi', 'Yuri']","Jul 6, 2011 to Oct 5, 2011",4.0,10489,4253,,6.08,https://cdn.myanimelist.net/images/anime/3/30153.jpg,https://myanimelist.net/anime/10920/Seikon_no_Qwaser_II_Picture_Drama
6286,Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,"The main character has been hospitalized for medical checkup. As nurses take care of him kindly, his sexual desire gradually becomes bigger.... ""If they took care of my sexual desire as well, it would be great...."" One day, he receives an email from someone unknown. ""Do you know what will happen to the girls who have been sexually insulted completely?"" The email arouses his sexual desire, and he finally starts raping the nurses.... 
 
(Source: ErogeShop)","['Hentai', 'Yuri']","Mar 23, 2009 to Nov 25, 2009",2.0,4049,6248,,6.14,https://cdn.myanimelist.net/images/anime/4/14031.jpg,https://myanimelist.net/anime/6286/Anata_no_Shiranai_Kangofu__Seiteki_Byoutou_24_Ji
1407,Stainless Night,"After ten years of dormancy, Linea awakes from a capsule in the countryside of Japan. Without any memories, she wanders into a small research center staffed by three beautiful women. One of the researchers, Sayako, is entranced by the strange woman and leaves her present lover. Sayako takes Linea to bed, and finds that her abilities are beyond that of any ordinary woman.  
 
(Source: ANN)","['Hentai', 'Yuri']","Dec 22, 1995 to Mar 22, 1996",2.0,3499,6630,,6.16,https://cdn.myanimelist.net/images/anime/3/62803.jpg,https://myanimelist.net/anime/1407/Stainless_Night
6558,Choukou Sennin Haruka,"Takamaru is a student at the Ten Treasure Academy, living an ordinary school life, seeking romances which are constantly interfered by Shihoudou Narika (the daughter of his apartment manager). One day, he fell in love at first sight with a transfer student named Takamori Haruka. On that very night, Takamaru and Narika became pursued by a group of mysterious ninja. Just when they thought all hope is lost, Haruka appeared in kunoichi attire. Haruka referred to Takamaru as ""young boss"", and asked him to do H stuff towards her. This gave her superhuman power that enabled her to defeat the mysterious ninjas.  
 
However, this was just the beginning of a very long battle. 
 
(Source: AlicesoftWiki)","['Hentai', 'Yuri']","Aug 25, 2009 to Sep 17, 2010",3.0,5195,5658,,6.16,https://cdn.myanimelist.net/images/anime/4/37293.jpg,https://myanimelist.net/anime/6558/Choukou_Sennin_Haruka
8577,Aki-Sora: Yume no Naka,A sequel to Aki-Sora under a new name.,"['Ecchi', 'Romance', 'Seinen', 'Yuri']","Jul 30, 2010 to Nov 17, 2010",2.0,55069,1778,,6.25,https://cdn.myanimelist.net/images/anime/12/23461.jpg,https://myanimelist.net/anime/8577/Aki-Sora__Yume_no_Naka
